format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 112
BA    1   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    1   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    1   CR         0   TR  0   CH 10   NT  C#-             1   von=127
BA    1   CR         0   TR  0   CH  1   Instrument 38
BA    1   CR         0   TR  0   CH  1   NT  C--           1/2   von=100
BA    1   CR         0   TR  0   CH  2   Instrument 27
BA    1   CR         0   TR  0   CH  3   Instrument 31
BA    1   CR         0   TR  0   CH  4   Instrument 64
BA    1   CR         0   TR  0   CH  5   Instrument 63
BA    1   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    1   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    1   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    1   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    1   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    1   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    1   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    1   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    1   CR     1+5/6   TR  0   CH  1   NT  C--           1/6   von=88
BA    1   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    1   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    1   CR         2   TR  0   CH  1   NT  C--           1/6   von=90
BA    1   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    1   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    1   CR     2+1/2   TR  0   CH  1   NT  C--           1/2   von=110
BA    1   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    1   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    1   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    1   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    1   CR     3+1/3   TR  0   CH  1   NT  D--           2/3   von=120
BA    1   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    1   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64

BA    2   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    2   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    2   CR         0   TR  0   CH  1   NT  Eb--          1/2   von=90
BA    2   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    2   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    2   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    2   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    2   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    2   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    2   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    2   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    2   CR     1+5/6   TR  0   CH  1   NT  Eb--          1/6   von=90
BA    2   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    2   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    2   CR         2   TR  0   CH  1   NT  Eb--          1/6   von=90
BA    2   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    2   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    2   CR     2+1/2   TR  0   CH  1   NT  Eb--          1/2   von=110
BA    2   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    2   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    2   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    2   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    2   CR     3+1/3   TR  0   CH  1   NT  A---          3/4   von=120
BA    2   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    2   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64

BA    3   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    3   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    3   CR         0   TR  0   CH  1   NT  Bb---         1/2   von=100
BA    3   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    3   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    3   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    3   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    3   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    3   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    3   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    3   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    3   CR     1+5/6   TR  0   CH  1   NT  Bb---         1/6   von=90
BA    3   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    3   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    3   CR         2   TR  0   CH  1   NT  Bb---         1/6   von=90
BA    3   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
