format=0 tracks=1 division=480

BA    1   CR         0   TR  0   CH 16   Text type 3: "ミナキ登場　 ～ポケットモンスタークリスタルバージョン"
BA    1   CR         0   TR  0   CH 16   Text type 1: ""
BA    1   CR         0   TR  0   CH 16   Text type 2: "ＭＩＤＩ化：バッシーニコア"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  0   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  0   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  0   CH 12   ST &BB &65 &00
BA    1   CR         0   TR  0   CH 12   ST &BB &64 &00
BA    1   CR         0   TR  0   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR  0   CH 13   ST &BC &65 &00
BA    1   CR         0   TR  0   CH 13   ST &BC &64 &00
BA    1   CR         0   TR  0   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR  0   CH 14   ST &BD &65 &00
BA    1   CR         0   TR  0   CH 14   ST &BD &64 &00
BA    1   CR         0   TR  0   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR  0   CH 15   ST &BE &65 &00
BA    1   CR         0   TR  0   CH 15   ST &BE &64 &00
BA    1   CR         0   TR  0   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR  0   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  0   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  0   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  0   CH 16   Tempo 147.5004
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &00 &7F &00 &41 &F7
BA    1   CR      7/15   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &10 &02 &02 &02 &02 &02 &02 &02 &00 &00 &00 &00 &02 &02 &02 &02 &02 &17 &F7
BA    1   CR         2   TR  0   CH 10   NT  C--          1/48   von=100
BA    1   CR         2   TR  0   CH 10   Instrument 26
BA    1   CR         2   TR  0   CH 10   NT  G--          1/48
BA    1   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    1   CR         3   TR  0   CH 10   NT  D--          1/48
BA    1   CR     3+1/2   TR  0   CH 10   NT  D--          1/48
BA    1   CR     3+3/4   TR  0   CH 10   NT  D--          1/48

BA    2   CR         0   TR  0   CH  1   NT  B            9/40
BA    2   CR         0   TR  0   CH  1   Instrument 57
BA    2   CR         0   TR  0   CH  2   NT  F#           9/40
BA    2   CR         0   TR  0   CH  2   Instrument 57
BA    2   CR         0   TR  0   CH  3   Instrument 35
BA    2   CR         0   TR  0   CH  3   NT  B--          9/20
BA    2   CR         0   TR  0   CH 10   Channel volume 96
BA    2   CR         0   TR  0   CH 10   NT  C--          1/48
BA    2   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    2   CR         0   TR  0   CH 10   NT  C#-          1/48
BA    2   CR         0   TR  0   CH 10   NT  D--          1/48
BA    2   CR      1/16   TR  0   CH 10   Channel volume 96
BA    2   CR       1/8   TR  0   CH 10   Channel volume 96
BA    2   CR      3/16   TR  0   CH 10   Channel volume 96
BA    2   CR       1/4   TR  0   CH  1   NT  B            9/40
BA    2   CR       1/4   TR  0   CH  2   NT  F#           9/40
BA    2   CR       1/4   TR  0   CH 10   Channel volume 96
BA    2   CR      5/16   TR  0   CH 10   Channel volume 96
BA    2   CR       3/8   TR  0   CH 10   Channel volume 96
BA    2   CR      7/16   TR  0   CH 10   Channel volume 96
BA    2   CR       1/2   TR  0   CH  1   NT  A            9/40
BA    2   CR       1/2   TR  0   CH  2   NT  E            9/40
BA    2   CR       1/2   TR  0   CH  3   NT  A-           9/40
BA    2   CR       1/2   TR  0   CH 10   Channel volume 96
BA    2   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    2   CR      9/16   TR  0   CH 10   Channel volume 96
BA    2   CR       5/8   TR  0   CH 10   Channel volume 96
BA    2   CR     11/16   TR  0   CH 10   Channel volume 96
