format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Lewis Wall"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    1   CR         0   TR  0   CH  1   Instrument 47
BA    1   CR         0   TR  0   CH  1   Channel volume 110
BA    1   CR         0   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR         0   TR  0   CH  1   NT  G-            1/4   von=107
BA    1   CR         0   TR  0   CH  2   Instrument 47
BA    1   CR         0   TR  0   CH  2   Channel volume 0
BA    1   CR      1/60   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR      1/20   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR      1/20   TR  0   CH  2   Channel volume 1
BA    1   CR      1/15   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR      1/12   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR      1/10   TR  0   CH  2   Channel volume 2
BA    1   CR      7/60   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR      2/15   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR      3/20   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR      3/20   TR  0   CH  2   Channel volume 3
BA    1   CR     11/60   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR     11/60   TR  0   CH  2   Channel volume 4
BA    1   CR       1/5   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR     13/60   TR  0   CH  1   ST &B0 &0B &41
BA    1   CR      7/30   TR  0   CH  1   ST &B0 &0B &40
BA    1   CR      7/30   TR  0   CH  2   Channel volume 5
BA    1   CR       1/4   TR  0   CH  1   NT  C             1/4   von=100
BA    1   CR       1/4   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR       1/4   TR  0   CH  2   NT  G-            1/4   von=107
BA    1   CR      4/15   TR  0   CH  1   ST &B0 &0B &41
BA    1   CR      4/15   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR     17/60   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR     17/60   TR  0   CH  2   Channel volume 6
BA    1   CR      3/10   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR      3/10   TR  0   CH  2   ST &B1 &0B &49
BA    1   CR     19/60   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR     19/60   TR  0   CH  2   ST &B1 &0B &48
BA    1   CR       1/3   TR  0   CH  2   Channel volume 7
BA    1   CR       1/3   TR  0   CH  2   ST &B1 &0B &47
BA    1   CR      7/20   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR     11/30   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR     11/30   TR  0   CH  2   Channel volume 8
BA    1   CR     11/30   TR  0   CH  2   ST &B1 &0B &46
BA    1   CR     23/60   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR     23/60   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR       2/5   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR       2/5   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR      5/12   TR  0   CH  2   Channel volume 9
BA    1   CR     13/30   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR     13/30   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR      9/20   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR      9/20   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR      7/15   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR      7/15   TR  0   CH  2   Channel volume 10
BA    1   CR      7/15   TR  0   CH  2   ST &B1 &0B &41
BA    1   CR     29/60   TR  0   CH  1   ST &B0 &0B &4C
BA    1   CR     29/60   TR  0   CH  2   ST &B1 &0B &40
BA    1   CR       1/2   TR  0   CH  1   NT  B-            1/4   von=100
BA    1   CR       1/2   TR  0   CH  2   Channel volume 11
BA    1   CR       1/2   TR  0   CH  2   NT  C             1/4
BA    1   CR     31/60   TR  0   CH  1   ST &B0 &0B &4D
BA    1   CR     31/60   TR  0   CH  2   ST &B1 &0B &41
BA    1   CR      8/15   TR  0   CH  1   ST &B0 &0B &4E
BA    1   CR      8/15   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR     11/20   TR  0   CH  1   ST &B0 &0B &4F
BA    1   CR     11/20   TR  0   CH  2   Channel volume 12
BA    1   CR     11/20   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR     17/30   TR  0   CH  1   ST &B0 &0B &50
BA    1   CR     17/30   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR       3/5   TR  0   CH  1   ST &B0 &0B &51
BA    1   CR       3/5   TR  0   CH  2   Channel volume 13
BA    1   CR       3/5   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR     37/60   TR  0   CH  1   ST &B0 &0B &52
BA    1   CR     37/60   TR  0   CH  2   ST &B1 &0B &46
