format=1 tracks=5 division=480

BA    1   CR         0   TR  0   CH 16   Tempo 130
BA    1   CR         0   TR  0   CH 16   Text type 3: ""
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 7, crotchets/32ndnote 10
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Track 1"
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  1   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &01
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &26 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &02
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  2   Instrument 81
BA    1   CR         0   TR  1   CH  1   Instrument 81
BA    1   CR         0   TR  1   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  2   Channel volume 104
BA    1   CR         0   TR  1   CH  1   Channel volume 104
BA    1   CR         0   TR  1   CH  2   ST &B1 &0A &38
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &38
BA    1   CR         0   TR  1   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5C &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5F &00
BA    1   CR         0   TR  1   CH  1   NT  G#-           1/2   von=95   voff=80
BA    1   CR         0   TR  2   CH 16   Text type 3: "Track 2"
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  2   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  2   CH  4   Instrument 82
BA    1   CR         0   TR  2   CH  3   Instrument 82
BA    1   CR         0   TR  2   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  2   CH  4   Channel volume 96
BA    1   CR         0   TR  2   CH  3   Channel volume 96
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &48
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &48
BA    1   CR         0   TR  2   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  2   CH  3   NT  F             3/4   von=95   voff=80
BA    1   CR         0   TR  3   CH 16   Text type 3: "Track 3"
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &01
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &26 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &01
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &26 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &02
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &02
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  3   CH  6   Instrument 82
BA    1   CR         0   TR  3   CH  5   Instrument 82
BA    1   CR         0   TR  3   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  3   CH  6   Channel volume 104
BA    1   CR         0   TR  3   CH  5   Channel volume 104
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5C &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5F &00
BA    1   CR         0   TR  3   CH  5   NT  F--           1/2   von=95   voff=80
BA    1   CR         0   TR  4   CH 16   Text type 3: "Percussion"
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  4   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  4   CH 10   Instrument 49
BA    1   CR         0   TR  4   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  4   CH 10   Channel volume 64
BA    1   CR         0   TR  4   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    1   CR       1/2   TR  1   CH  1   NT  G#-           1/4   voff=80
BA    1   CR       1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
BA    1   CR       3/4   TR  1   CH  1   NT  F-            1/4   voff=80
BA    1   CR       3/4   TR  2   CH  3   NT  C             1/4   voff=80
BA    1   CR       3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    1   CR         1   TR  1   CH  1   NT  G#-           1/2   voff=80
BA    1   CR         1   TR  2   CH  3   NT  F               2   voff=80
BA    1   CR         1   TR  3   CH  5   NT  F--         1+1/2   voff=80
BA    1   CR         1   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    1   CR     1+1/2   TR  1   CH  1   NT  G#-           1/4   voff=80
BA    1   CR     1+1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
BA    1   CR     1+3/4   TR  1   CH  1   NT  F-            1/4   voff=80
BA    1   CR     1+3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    1   CR         2   TR  1   CH  1   NT  G#-           1/2   voff=80
BA    1   CR         2   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    1   CR     2+1/2   TR  1   CH  1   NT  G#-           1/4   voff=80
BA    1   CR     2+1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
BA    1   CR     2+3/4   TR  1   CH  1   NT  F-            1/4   voff=80
BA    1   CR     2+3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    1   CR         3   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    1   CR         3   TR  2   CH  3   NT  G             1/2   voff=80
BA    1   CR         3   TR  3   CH  5   NT  Eb--          1/2   voff=80
BA    1   CR         3   TR  4   CH 10   NT  E--           1/8   von=63   voff=80
BA    1   CR     3+1/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+1/4   TR  1   CH  1   NT  Eb-           1/4   voff=80
BA    1   CR     3+1/4   TR  4   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+3/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    1   CR     3+1/2   TR  2   CH  3   NT  G#            1/4   voff=80
BA    1   CR     3+1/2   TR  3   CH  5   NT  F--           1/4   voff=80
BA    1   CR     3+1/2   TR  4   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+5/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+3/4   TR  1   CH  1   NT  G-            1/4   voff=80
BA    1   CR     3+3/4   TR  2   CH  3   NT  Bb            1/4   voff=80
BA    1   CR     3+3/4   TR  3   CH  5   NT  G--           1/4   voff=80
BA    1   CR     3+3/4   TR  4   CH 10   NT  E--           1/8   voff=80
