format=1 tracks=9 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 157
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Battletoads(Gameboy):  Wurmhole"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 19
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 19
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 19
BA    1   CR         0   TR  2   CH 16   Text type 3: "Originally by Rareware, LTD."
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &2E
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &2E
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 94
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &2E
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 94
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &2E
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 94
BA    1   CR         0   TR  3   CH 16   Text type 3: "This MIDI file by Joseph David Collins"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &50
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &50
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 93
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &50
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 93
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &50
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 93
BA    1   CR         0   TR  4   CH 16   Text type 3: "(Joseph_Collins AT Juno DOT com)"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 86
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 86
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 86
BA    1   CR         0   TR  5   CH 16   Text type 3: "Pitch bend assistance by Verse Kelfonne(AKA Blue Fox Verse)"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 60
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 60
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 60
BA    1   CR         0   TR  6   CH 16   Text type 3: "(verse AT dieyuppyscum DOT org)"
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &37
BA    1   CR         0   TR  6   CH  8   Channel volume 100
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &37
BA    1   CR         0   TR  6   CH  8   Channel volume 100
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 33
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &37
BA    1   CR         0   TR  6   CH  8   Channel volume 100
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 33
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &37
BA    1   CR         0   TR  6   CH  8   Channel volume 100
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 33
BA    1   CR         0   TR  6   CH  8   NT  G--         47/96   von=127   voff=127
BA    1   CR         0   TR  7   CH 16   Text type 3: ""Hey.  Guess what?  I did the S3M version of this"
BA    1   CR         0   TR  7   CH  9   ST &B8 &0A &4B
BA    1   CR         0   TR  7   CH  9   Channel volume 100
BA    1   CR         0   TR  7   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  7   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  7   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  7   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  7   CH  9   ST &B8 &0A &4B
BA    1   CR         0   TR  7   CH  9   Channel volume 100
BA    1   CR         0   TR  7   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  7   CH  9   Instrument 45
BA    1   CR         0   TR  7   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  7   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  7   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  7   CH  9   ST &B8 &0A &4B
BA    1   CR         0   TR  7   CH  9   Channel volume 100
BA    1   CR         0   TR  7   CH  9   ST &E8 &00 &40
