format=1 tracks=19 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "TECHBASS #2 (MIDI)"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 5
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 5
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &1F
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 5
BA    1   CR         0   TR  1   CH  1   NT  Bb-         47/96   von=99   voff=99
BA    1   CR         0   TR  1   CH  1   NT  Eb''        47/96   voff=99
BA    1   CR         0   TR  1   CH  1   NT  Bb          47/96   voff=99
BA    1   CR         0   TR  2   CH 16   Text type 3: "Wash Moog_s (MIDI)"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &63
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &63
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 6
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &63
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 6
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &63
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 6
BA    1   CR         0   TR  2   CH  2   NT  Bb          47/96   von=99   voff=99
BA    1   CR         0   TR  2   CH  2   NT  Bb'         47/96   voff=99
BA    1   CR         0   TR  3   CH 16   Text type 3: "DRKBRASS (MIDI)"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &21
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &21
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 64
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &21
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 64
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &21
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 64
BA    1   CR         0   TR  4   CH 16   Text type 3: "DRKBRASS #2 (MIDI)"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 64
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 64
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 64
BA    1   CR         0   TR  5   CH 16   Text type 3: "BRIBRASS (MIDI)"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &52
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &52
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 57
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &52
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 57
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &52
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 57
BA    1   CR         0   TR  6   CH 16   Text type 3: "BRIBRASS #2 (MIDI)"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2E
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2E
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 57
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2E
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 57
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2E
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 57
BA    1   CR         0   TR  7   CH 16   Text type 3: "STR_Chorussy_C1 (MIDI)"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &53
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &53
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &53
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &53
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  8   CH 16   Text type 3: "STR_Chorussy_C1 #2 (MIDI)"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  9   CH 16   Text type 3: "ACIDSMAK (MIDI)"
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &2E
BA    1   CR         0   TR  9   CH 11   Channel volume 100
BA    1   CR         0   TR  9   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &2E
BA    1   CR         0   TR  9   CH 11   Channel volume 100
BA    1   CR         0   TR  9   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  9   CH 11   Instrument 38
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &2E
BA    1   CR         0   TR  9   CH 11   Channel volume 100
BA    1   CR         0   TR  9   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  9   CH 11   Instrument 38
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &2E
BA    1   CR         0   TR  9   CH 11   Channel volume 100
BA    1   CR         0   TR  9   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  9   CH 11   Instrument 38
BA    1   CR         0   TR  9   CH 11   NT  G-          47/96   von=99   voff=99
BA    1   CR         0   TR 10   CH 16   Text type 3: "BLANK (MIDI)"
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &4F
BA    1   CR         0   TR 10   CH 12   Channel volume 100
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &4F
BA    1   CR         0   TR 10   CH 12   Channel volume 100
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 4
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &4F
BA    1   CR         0   TR 10   CH 12   Channel volume 100
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 4
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &4F
BA    1   CR         0   TR 10   CH 12   Channel volume 100
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 4
BA    1   CR         0   TR 11   CH 16   Text type 3: "CHR_Dream_C6 (MIDI)"
BA    1   CR         0   TR 11   CH 13   ST &BC &0A &00
BA    1   CR         0   TR 11   CH 13   Channel volume 100
BA    1   CR         0   TR 11   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   Channel volume 100
BA    1   CR         0   TR 11   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 11   CH 13   Instrument 55
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   Channel volume 100
BA    1   CR         0   TR 11   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 11   CH 13   Instrument 55
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   Channel volume 100
BA    1   CR         0   TR 11   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 11   CH 13   Instrument 55
BA    1   CR         0   TR 12   CH 16   Text type 3: "CHR_Gospel_C3 (MIDI)"
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &7F
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &7F
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 54
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &7F
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 54
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &7F
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 54
BA    1   CR         0   TR 13   CH 16   Text type 3: "RD_Kick (MIDI)"
BA    1   CR         0   TR 13   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 13   CH 10   Channel volume 100
BA    1   CR         0   TR 13   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 13   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 13   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 13   CH 10   Channel volume 100
BA    1   CR         0   TR 13   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 13   CH 10   Instrument 1
BA    1   CR         0   TR 13   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 13   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 13   CH 10   Channel volume 100
BA    1   CR         0   TR 13   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 13   CH 10   Instrument 1
BA    1   CR         0   TR 13   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 13   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 13   CH 10   ST &B9 &0A &40
