format=1 tracks=5 division=92

BA    1   CR         0   TR  0   CH 16   Meta Event   type &7F   0 0 91 35 2 0 3 0 51 0
BA    1   CR         0   TR  0   CH 16   Text type 3: "Radar Mission - Game B (Submarines)"
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH 16   Text type 2: "Radar Misson - Game B (Submarines) by Erik the Not-So-Great"
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  1   CH  2   Instrument 27
BA    1   CR         0   TR  1   CH  2   NT  C-          10/23   von=127
BA    1   CR         0   TR  2   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  2   CH  3   Instrument 27
BA    1   CR         0   TR  2   CH  3   NT  C           10/23   von=127
BA    1   CR         0   TR  3   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  3   CH  4   Instrument 28
BA    1   CR         0   TR  3   CH  4   NT  C--          5/23   von=127
BA    1   CR         0   TR  4   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  4   CH 10   NT  F#--         5/23   von=127
BA    1   CR      5/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR     10/23   TR  1   CH  2   NT  C-          10/23
BA    1   CR     10/23   TR  2   CH  3   NT  C           10/23
BA    1   CR     10/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR     10/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR     15/23   TR  4   CH 10   NT  F#--        10/23
BA    1   CR     20/23   TR  1   CH  2   NT  C-          10/23
BA    1   CR     20/23   TR  2   CH  3   NT  C           10/23
BA    1   CR     20/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR     20/23   TR  4   CH 10   NT  E--       1+17/23
BA    1   CR    1+2/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR    1+2/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR    1+7/23   TR  1   CH  2   NT  C-          10/23
BA    1   CR    1+7/23   TR  2   CH  3   NT  C           10/23
BA    1   CR    1+7/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR    1+7/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR   1+12/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR   1+12/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR   1+17/23   TR  1   CH  2   NT  C-          10/23
BA    1   CR   1+17/23   TR  2   CH  3   NT  C           10/23
BA    1   CR   1+17/23   TR  3   CH  4   NT  C--          5/23
BA    1   CR   1+17/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR   1+22/23   TR  4   CH 10   NT  F#--         5/23
BA    1   CR    2+4/23   TR  1   CH  2   NT  C-          10/23
BA    1   CR    2+4/23   TR  2   CH  3   NT  C           10/23
