format=0 tracks=1 division=192

BA    1   CR         0   TR  0   CH 16   Text type 3: "SaGanewvictory"
BA    1   CR         0   TR  0   CH 16   Text type 2: "Copyright © 1997 by Wild Alpha -- CronoRye.Com"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Generated by NoteWorthy Composer"
BA    1   CR         0   TR  0   CH 10   Instrument 1
BA    1   CR         0   TR  0   CH 10   Channel volume 127
BA    1   CR         0   TR  0   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  0   CH  2   Instrument 45
BA    1   CR         0   TR  0   CH  2   Channel volume 127
BA    1   CR         0   TR  0   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  0   CH  3   Instrument 49
BA    1   CR         0   TR  0   CH  3   Channel volume 127
BA    1   CR         0   TR  0   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  0   CH  4   Instrument 39
BA    1   CR         0   TR  0   CH  4   Channel volume 127
BA    1   CR         0   TR  0   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  0   CH  1   Channel volume 127
BA    1   CR         0   TR  0   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  0   CH  2   Instrument 31
BA    1   CR         0   TR  0   CH  3   Instrument 31
BA    1   CR         0   TR  0   CH 16   Tempo 140
BA    1   CR         0   TR  0   CH 16   Key G major
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 10   NT  C--         47/96   von=110
BA    1   CR         0   TR  0   CH 10   NT  F#--        47/96
BA    1   CR       1/2   TR  0   CH 10   NT  Bb--        47/96
BA    1   CR         1   TR  0   CH 10   NT  E--         23/96
BA    1   CR         1   TR  0   CH 10   NT  F#--        23/96
BA    1   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA    1   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    1   CR         2   TR  0   CH 10   NT  C--         47/96
BA    1   CR         2   TR  0   CH 10   NT  F#--        47/96
BA    1   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    1   CR         3   TR  0   CH 10   NT  E--         47/96
BA    1   CR         3   TR  0   CH 10   NT  F#--        47/96
BA    1   CR     3+1/2   TR  0   CH 10   NT  C--         47/96
BA    1   CR     3+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    1   CR     3+1/2   TR  0   CH  2   NT  D           23/96
BA    1   CR     3+3/4   TR  0   CH  2   NT  E           11/96
BA    1   CR     3+7/8   TR  0   CH  2   NT  F#          11/96

BA    2   CR         0   TR  0   CH 10   NT  F#--        23/96
BA    2   CR         0   TR  0   CH  2   NT  G           71/96
BA    2   CR         0   TR  0   CH  3   NT  B-          71/96
BA    2   CR         0   TR  0   CH  4   NT  G--           5/6
BA    2   CR       1/4   TR  0   CH 10   NT  F#--        23/96
BA    2   CR       1/2   TR  0   CH 10   NT  Bb--        23/96
BA    2   CR       3/4   TR  0   CH 10   NT  F#--        23/96
BA    2   CR       3/4   TR  0   CH  2   NT  G           23/96
BA    2   CR       3/4   TR  0   CH  3   NT  B-          23/96
BA    2   CR         1   TR  0   CH 10   NT  E--         23/96
BA    2   CR         1   TR  0   CH 10   NT  F#--        23/96
BA    2   CR         1   TR  0   CH  2   NT  D'          1+3/4
BA    2   CR         1   TR  0   CH  3   NT  B             5/6
BA    2   CR         1   TR  0   CH  4   NT  G--           5/6
BA    2   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA    2   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    2   CR         2   TR  0   CH 10   NT  C--         47/96
BA    2   CR         2   TR  0   CH 10   NT  F#--        47/96
BA    2   CR         2   TR  0   CH  3   NT  A           35/96
BA    2   CR         2   TR  0   CH  4   NT  G--           5/6
BA    2   CR     2+3/8   TR  0   CH  3   NT  G           35/96
BA    2   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    2   CR     2+3/4   TR  0   CH  3   NT  F#          23/96
BA    2   CR         3   TR  0   CH 10   NT  E--         23/96
BA    2   CR         3   TR  0   CH 10   NT  F#--        23/96
BA    2   CR         3   TR  0   CH  2   NT  C'          35/96
BA    2   CR         3   TR  0   CH  3   NT  E           35/96
BA    2   CR         3   TR  0   CH  4   NT  G--           5/6
BA    2   CR     3+1/4   TR  0   CH 10   NT  F#--        23/96
BA    2   CR     3+3/8   TR  0   CH  2   NT  D'          35/96
BA    2   CR     3+3/8   TR  0   CH  3   NT  D           35/96
BA    2   CR     3+1/2   TR  0   CH 10   NT  Bb--        23/96
BA    2   CR     3+3/4   TR  0   CH 10   NT  F#--        23/96
BA    2   CR     3+3/4   TR  0   CH  2   NT  E'          23/96
BA    2   CR     3+3/4   TR  0   CH  3   NT  C           23/96

BA    3   CR         0   TR  0   CH 10   NT  C--         47/96
BA    3   CR         0   TR  0   CH 10   NT  F#--        47/96
BA    3   CR         0   TR  0   CH  2   NT  D'            5/6
