format=1 tracks=4 division=1024

BA    1   CR         0   TR  0   CH 16   Meta Event   type &54   0 0 0 0 0
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key A major
BA    1   CR         0   TR  0   CH 16   Tempo 150
BA    1   CR         0   TR  0   CH 16   Tempo 150
BA    1   CR         0   TR  1   CH 16   Meta Event   type &09   83 109 97 114 116 77 117 115 105 99 32 83 111 102 116 83 121 110 116 104 32 49
BA    1   CR         0   TR  1   CH 16   Text type 3: "Flute"
BA    1   CR         0   TR  1   CH  1   Instrument 50
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 108
BA    1   CR         0   TR  2   CH 16   Meta Event   type &09   83 109 97 114 116 77 117 115 105 99 32 83 111 102 116 83 121 110 116 104 32 49
BA    1   CR         0   TR  2   CH 16   Text type 3: "Lead"
BA    1   CR         0   TR  2   CH  2   Instrument 7
BA    1   CR         0   TR  2   CH  2   Channel volume 90
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &50
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  3   CH 16   Meta Event   type &09   83 109 97 114 116 77 117 115 105 99 32 83 111 102 116 83 121 110 116 104 32 49
BA    1   CR         0   TR  3   CH 16   Text type 3: "Countermelody"
BA    1   CR         0   TR  3   CH  3   Instrument 36
BA    1   CR         0   TR  3   CH  3   Channel volume 95
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &38
BA    1   CR    3/1024   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR    3/1024   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR    3/1024   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR    3/1024   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR    3/1024   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR    3/1024   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR     1/256   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR     1/256   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR     1/256   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR    5/1024   TR  1   CH  1   ST &B0 &26 &00
BA    1   CR    5/1024   TR  2   CH  2   ST &B1 &26 &00
BA    1   CR    5/1024   TR  3   CH  3   ST &B2 &26 &00
BA    1   CR     5/512   TR  2   CH  2   NT  A        505/1024   von=69   voff=0
BA    1   CR   273/512   TR  2   CH  2   NT  E        477/1024   von=64   voff=0
BA    1   CR  1+15/512   TR  2   CH  2   NT  A         507/512   von=65   voff=0
BA    1   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA    1   CR   3+3/256   TR  2   CH  2   NT  D'      1011/1024   von=65   voff=0
BA    1   CR   3+3/256   TR  3   CH  3   NT  E         237/512   von=65   voff=0
BA    1   CR 3+517/1024   TR  3   CH  3   NT  F#        119/256   von=64   voff=0

BA    2   CR     1/256   TR  2   CH  2   NT  C#'      277/1024   von=69   voff=0
BA    2   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA    2   CR  297/1024   TR  2   CH  2   NT  D'       233/1024   von=64   voff=0
BA    2   CR   273/512   TR  2   CH  2   NT  C#'      477/1024   voff=0
BA    2   CR  1+15/512   TR  2   CH  2   NT  B         237/512   von=65   voff=0
BA    2   CR  1+15/512   TR  3   CH  3   NT  D         507/512   von=65   voff=0
BA    2   CR 1+535/1024   TR  2   CH  2   NT  A        479/1024   von=64   voff=0
BA    2   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA    2   CR 2+21/1024   TR  3   CH  3   NT  C#       479/1024   von=67   voff=0
BA    2   CR 2+531/1024   TR  3   CH  3   NT  D         237/512   von=64   voff=0
BA    2   CR   3+3/256   TR  1   CH  1   NT  B         105/256   von=65   voff=0
BA    2   CR   3+3/256   TR  2   CH  2   NT  G#      1011/1024   von=65   voff=0
BA    2   CR   3+3/256   TR  3   CH  3   NT  E       1011/1024   von=65   voff=0
BA    2   CR 3+517/1024   TR  1   CH  1   NT  G#        211/512   von=64   voff=0

BA    3   CR     1/256   TR  1   CH  1   NT  A       1+239/256   von=69   voff=0
BA    3   CR     1/256   TR  2   CH  2   NT  A        511/1024   von=69   voff=0
BA    3   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA    3   CR   273/512   TR  2   CH  2   NT  B        477/1024   von=64   voff=0
BA    3   CR  1+15/512   TR  2   CH  2   NT  C#'       507/512   von=65   voff=0
BA    3   CR  1+15/512   TR  3   CH  3   NT  F#        237/512   von=65   voff=0
BA    3   CR 1+535/1024   TR  3   CH  3   NT  D        479/1024   von=64   voff=0
