format=1 tracks=11 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 134
BA    1   CR         0   TR  0   CH 16   Tempo 134
BA    1   CR         0   TR  0   CH 16   Tempo 134
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out #7"
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  1   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  1   CH  3   Instrument 77
BA    1   CR         0   TR  1   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  1   CH  3   Instrument 77
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  1   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  1   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  1   CH  3   Instrument 77
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  1   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI out #8"
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 120
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 120
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 61
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 120
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 61
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 0
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 61
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 0
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #9"
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  3   CH  5   Channel volume 120
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  3   CH  5   Channel volume 120
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   Instrument 30
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  3   CH  5   Channel volume 120
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   Instrument 30
BA    1   CR         0   TR  3   CH  5   Channel volume 0
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   Instrument 30
BA    1   CR         0   TR  3   CH  5   Channel volume 0
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI out #10"
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 82
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 82
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 82
BA    1   CR         0   TR  4   CH  6   Channel volume 96
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 48
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 48
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 48
BA    1   CR         0   TR  5   CH  1   Channel volume 87
BA    1   CR         0   TR  5   CH  1   NT  B--         47/96   von=100   voff=0
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #2"
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 17
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 17
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 17
BA    1   CR         0   TR  6   CH 10   Channel volume 86
BA    1   CR         0   TR  6   CH 10   NT  D--         47/96   von=65   voff=0
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #3"
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  7   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  7   CH  2   Instrument 37
BA    1   CR         0   TR  7   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  7   CH  2   Instrument 37
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  7   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  7   CH  2   Instrument 37
BA    1   CR         0   TR  7   CH  2   Channel volume 80
BA    1   CR         0   TR  7   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  7   CH  2   NT  F#---       47/96   von=100   voff=0
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   Instrument 17
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   Instrument 17
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   Instrument 17
BA    1   CR         0   TR  9   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 87
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 87
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 17
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 87
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 17
BA    1   CR         0   TR  9   CH 10   Channel volume 87
