format=1 tracks=8 division=240

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 180
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 10   Instrument 9
BA    1   CR         0   TR  1   CH 10   Channel volume 125
BA    1   CR         0   TR  1   CH 10   NT  C--           4/5   von=90
BA    1   CR         0   TR  2   CH  1   Instrument 39
BA    1   CR         0   TR  2   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  2   Instrument 17
BA    1   CR         0   TR  3   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  3   Instrument 58
BA    1   CR         0   TR  4   CH  3   Channel volume 118
BA    1   CR         0   TR  5   CH  5   Instrument 19
BA    1   CR         0   TR  5   CH  5   Channel volume 54
BA    1   CR         0   TR  6   CH  4   Instrument 19
BA    1   CR         0   TR  6   CH  4   Channel volume 79
BA    1   CR         0   TR  7   CH  6   Instrument 28
BA    1   CR         0   TR  7   CH  6   Channel volume 90
BA    1   CR         1   TR  1   CH 10   NT  E--           4/5
BA    1   CR         2   TR  1   CH 10   NT  C--          8/15
BA    1   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA    1   CR         3   TR  1   CH 10   NT  E--           4/5

BA    2   CR         0   TR  1   CH 10   NT  C--           4/5
BA    2   CR         1   TR  1   CH 10   NT  E--           4/5
BA    2   CR         2   TR  1   CH 10   NT  C--          8/15
BA    2   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA    2   CR         3   TR  1   CH 10   NT  E--           4/5

BA    3   CR         0   TR  1   CH 10   NT  C--           4/5
BA    3   CR         0   TR  2   CH  1   NT  C-            2/5   von=90
BA    3   CR         1   TR  1   CH 10   NT  E--           4/5
BA    3   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA    3   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA    3   CR         2   TR  1   CH 10   NT  C--          8/15
BA    3   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA    3   CR         3   TR  1   CH 10   NT  E--           4/5
BA    3   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA    4   CR         0   TR  1   CH 10   NT  C--           4/5
BA    4   CR         0   TR  2   CH  1   NT  C-            2/5
BA    4   CR         1   TR  1   CH 10   NT  E--           4/5
BA    4   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA    4   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA    4   CR         2   TR  1   CH 10   NT  C--          8/15
BA    4   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA    4   CR         3   TR  1   CH 10   NT  E--          8/15
BA    4   CR     3+2/3   TR  1   CH 10   NT  E--          4/15
BA    4   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA    5   CR         0   TR  1   CH 10   NT  C--           4/5
BA    5   CR         0   TR  2   CH  1   NT  C-            2/5
BA    5   CR         1   TR  1   CH 10   NT  E--           4/5
BA    5   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA    5   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA    5   CR         2   TR  1   CH 10   NT  C--          8/15
BA    5   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA    5   CR         3   TR  1   CH 10   NT  E--           4/5
BA    5   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA    6   CR         0   TR  1   CH 10   NT  C--           4/5
BA    6   CR         0   TR  2   CH  1   NT  C-            2/5
BA    6   CR         1   TR  1   CH 10   NT  E--           4/5
BA    6   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA    6   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
