format=1 tracks=4 division=48

BA    1   CR         0   TR  0   CH 16   Text type 3: "Alleyway - Title Screen (Game Boy)"
BA    1   CR         0   TR  0   CH 16   Text type 1: "sequenced by Chris Read"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 170
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH  1   Instrument 13
BA    1   CR         0   TR  2   CH  2   Instrument 13
BA    1   CR         0   TR  2   CH  2   NT  E-            1/4   von=127
BA    1   CR       1/4   TR  2   CH  2   NT  E-            1/2
BA    1   CR       3/4   TR  2   CH  2   NT  E-            1/4
BA    1   CR         1   TR  2   CH  2   NT  F-            1/4
BA    1   CR     1+1/2   TR  2   CH  2   NT  F#-           1/4
BA    1   CR         2   TR  2   CH  2   NT  G-            3/4
BA    1   CR         3   TR  2   CH  2   NT  C#            1/2
BA    1   CR         3   TR  3   CH 10   NT  F#--          1/4   von=127
BA    1   CR     3+1/2   TR  1   CH  1   NT  C#'           1/2   von=127

BA    2   CR         0   TR  1   CH  1   NT  B             1/2
BA    2   CR         0   TR  2   CH  2   NT  C#            1/2
BA    2   CR         0   TR  3   CH 10   NT  F#--          1/4
BA    2   CR       1/2   TR  1   CH  1   NT  A             1/4
BA    2   CR       3/4   TR  1   CH  1   NT  C#'           1/2
BA    2   CR         1   TR  2   CH  2   NT  C#            1/2
BA    2   CR         1   TR  3   CH 10   NT  F#--          1/4
BA    2   CR     1+1/4   TR  1   CH  1   NT  C#'           1/4
BA    2   CR     1+3/4   TR  1   CH  1   NT  C#'           1/4
BA    2   CR         2   TR  1   CH  1   NT  B             1/2
BA    2   CR         2   TR  2   CH  2   NT  C#            1/2
BA    2   CR         2   TR  3   CH 10   NT  F#--          1/4
BA    2   CR     2+1/2   TR  1   CH  1   NT  A             1/2
BA    2   CR         3   TR  2   CH  2   NT  D-            1/2
BA    2   CR         3   TR  3   CH 10   NT  F#--          1/4
BA    2   CR     3+1/2   TR  1   CH  1   NT  D'            1/2

BA    3   CR         0   TR  1   CH  1   NT  B             1/2
BA    3   CR         0   TR  2   CH  2   NT  D-            1/2
BA    3   CR         0   TR  3   CH 10   NT  F#--          1/4
BA    3   CR       1/2   TR  1   CH  1   NT  A             1/4
BA    3   CR       3/4   TR  1   CH  1   NT  D'            1/2
BA    3   CR         1   TR  2   CH  2   NT  D-            1/2
BA    3   CR         1   TR  3   CH 10   NT  F#--          1/4
BA    3   CR     1+1/4   TR  1   CH  1   NT  D'            1/4
BA    3   CR     1+3/4   TR  1   CH  1   NT  D'            1/4
BA    3   CR         2   TR  1   CH  1   NT  B             1/2
BA    3   CR         2   TR  2   CH  2   NT  D-            1/2
BA    3   CR         2   TR  3   CH 10   NT  F#--          1/4
BA    3   CR     2+1/2   TR  1   CH  1   NT  A             1/2
BA    3   CR         3   TR  2   CH  2   NT  C#            1/2
BA    3   CR         3   TR  3   CH 10   NT  F#--          1/4
BA    3   CR     3+1/2   TR  1   CH  1   NT  C#'           1/2

BA    4   CR         0   TR  1   CH  1   NT  B             1/2
BA    4   CR         0   TR  2   CH  2   NT  C#            1/2
BA    4   CR         0   TR  3   CH 10   NT  F#--          1/4
BA    4   CR       1/2   TR  1   CH  1   NT  A             1/4
BA    4   CR       3/4   TR  1   CH  1   NT  C#'           1/2
BA    4   CR         1   TR  2   CH  2   NT  C#            1/2
BA    4   CR         1   TR  3   CH 10   NT  F#--          1/4
BA    4   CR     1+1/4   TR  1   CH  1   NT  C#'           1/4
BA    4   CR     1+3/4   TR  1   CH  1   NT  C#'           1/4
BA    4   CR         2   TR  1   CH  1   NT  B             1/4
BA    4   CR         2   TR  2   CH  2   NT  C#            1/2
BA    4   CR         2   TR  3   CH 10   NT  F#--          1/4
BA    4   CR     2+1/4   TR  1   CH  1   NT  A             1/4
BA    4   CR     2+1/2   TR  1   CH  1   NT  C#'           1/4
BA    4   CR     2+3/4   TR  1   CH  1   NT  D'            1/2
BA    4   CR         3   TR  2   CH  2   NT  D-            1/2
BA    4   CR         3   TR  3   CH 10   NT  F#--          1/4
BA    4   CR     3+1/2   TR  1   CH  1   NT  D'            1/2

BA    5   CR         0   TR  1   CH  1   NT  B             1/4
