format=1 tracks=17 division=960

BA    1   CR         0   TR  0   CH 16   Text type 3: "Wario Land 3 (GBC) - Fat Wario"
BA    1   CR         0   TR  0   CH 16   Text type 1: "sequenced by the Almighty Pineapple"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C# major
BA    1   CR         0   TR  0   CH 16   Tempo 75
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH  1   Instrument 82
BA    1   CR         0   TR  1   CH  1   Channel volume 127
BA    1   CR         0   TR  1   CH  1   NT  C#--          3/4   von=100
BA    1   CR         0   TR  2   CH 10   Channel volume 126
BA    1   CR         0   TR  2   CH 10   NT  B#---         1/2   von=100
BA    1   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    1   CR         0   TR  3   CH 16   End of track
BA    1   CR         0   TR  4   CH 16   End of track
BA    1   CR         0   TR  5   CH 16   End of track
BA    1   CR         0   TR  6   CH 16   End of track
BA    1   CR         0   TR  7   CH 16   End of track
BA    1   CR         0   TR  8   CH 16   End of track
BA    1   CR         0   TR  9   CH 16   End of track
BA    1   CR         0   TR 10   CH 16   End of track
BA    1   CR         0   TR 11   CH 16   End of track
BA    1   CR         0   TR 12   CH 16   End of track
BA    1   CR         0   TR 13   CH 16   End of track
BA    1   CR         0   TR 14   CH 16   End of track
BA    1   CR         0   TR 15   CH 16   End of track
BA    1   CR         0   TR 16   CH 16   End of track
BA    1   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    1   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    1   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    1   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    1   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    1   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    1   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    1   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    1   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    1   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    1   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    1   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    1   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    1   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    1   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    1   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    1   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    2   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    2   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    2   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    2   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    2   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    2   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    2   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    2   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    2   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    2   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    2   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    2   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    2   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    2   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    2   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    2   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    2   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    2   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    2   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    2   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    3   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    3   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    3   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    3   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    3   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    3   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    3   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    3   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    3   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    3   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    3   CR         2   TR  1   CH  1   NT  F#--          3/4
BA    3   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    3   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    3   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    3   CR     2+3/4   TR  1   CH  1   NT  A#--          1/4
BA    3   CR         3   TR  1   CH  1   NT  C#-           1/2
BA    3   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    3   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    3   CR     3+1/2   TR  1   CH  1   NT  F#-           1/2
BA    3   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    4   CR         0   TR  1   CH  1   NT  F#-           1/4
BA    4   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    4   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    4   CR       1/4   TR  1   CH  1   NT  E#-           1/4
BA    4   CR       1/2   TR  1   CH  1   NT  B#'           1/2
BA    4   CR       1/2   TR  1   CH  1   NT  D#-           1/4
BA    4   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR       3/4   TR  1   CH  1   NT  C#-           1/4
BA    4   CR         1   TR  1   CH  1   NT  B#''          1/2
BA    4   CR         1   TR  1   CH  1   NT  A#--          1/4
BA    4   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    4   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     1+1/4   TR  1   CH  1   NT  B#--          1/4
BA    4   CR     1+1/2   TR  1   CH  1   NT  B#'           1/2
BA    4   CR     1+1/2   TR  1   CH  1   NT  C#-           1/4
BA    4   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     1+3/4   TR  1   CH  1   NT  A#--          1/4
BA    4   CR         2   TR  1   CH  1   NT  A#''          1/2
BA    4   CR         2   TR  1   CH  1   NT  D#-           1/2
BA    4   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    4   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    4   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    4   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    4   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    5   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    5   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    5   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    5   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    5   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    5   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    5   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    5   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    5   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    5   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    5   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    5   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    5   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    5   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    6   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    6   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    6   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    6   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    6   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    6   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    6   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    6   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    6   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    6   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    6   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    6   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    6   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    6   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    7   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    7   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    7   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    7   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    7   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    7   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    7   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    7   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR         2   TR  1   CH  1   NT  F#--          3/4
BA    7   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    7   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     2+3/4   TR  1   CH  1   NT  A#--          1/4
