format=1 tracks=11 division=480

BA    1   CR         0   TR  0   CH 16   Text type 3: ""
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  1   CH 16   Text type 3: "Synth Bass 1"
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Brite Piano"
BA    1   CR         0   TR  2   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  3   CH 16   Text type 3: "Strings"
BA    1   CR         0   TR  3   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  4   CH 16   Text type 3: "Piano"
BA    1   CR         0   TR  4   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  5   CH 16   Text type 3: "Choir Aahs"
BA    1   CR         0   TR  5   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  6   CH 16   Text type 3: "Finger Bass"
BA    1   CR         0   TR  6   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  7   CH 16   Text type 3: ""
BA    1   CR         0   TR  7   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  7   CH 16   End of track
BA    1   CR         0   TR  8   CH 16   Text type 3: ""
BA    1   CR         0   TR  8   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  8   CH 16   End of track
BA    1   CR         0   TR  9   CH 16   Text type 3: ""
BA    1   CR         0   TR  9   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  9   CH 16   End of track
BA    1   CR         0   TR 10   CH 16   Text type 3: "Standard drums"
BA    1   CR         0   TR 10   CH 16   Meta Event   type &21   0

BA    2   CR         0   TR  0   CH 16   Tempo 148
BA    2   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    2   CR         0   TR  1   CH  1   ST &B0 &20 &00
BA    2   CR         0   TR  1   CH  1   Instrument 39
BA    2   CR         0   TR  1   CH  1   NT  E--             2   von=100
BA    2   CR         0   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR         0   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    2   CR         0   TR  2   CH  2   ST &B1 &20 &00
BA    2   CR         0   TR  2   CH  2   Instrument 2
BA    2   CR         0   TR  2   CH  2   NT  E'            1/5   von=100
BA    2   CR         0   TR  2   CH  2   Channel volume 126
BA    2   CR         0   TR  2   CH  2   ST &B1 &0A &18
BA    2   CR         0   TR  3   CH  3   ST &B2 &00 &00
BA    2   CR         0   TR  3   CH  3   ST &B2 &20 &00
BA    2   CR         0   TR  3   CH  3   Instrument 49
BA    2   CR         0   TR  3   CH  3   NT  B-              2   von=70
BA    2   CR         0   TR  3   CH  3   NT  E               2
BA    2   CR         0   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR         0   TR  4   CH  4   ST &B3 &00 &00
BA    2   CR         0   TR  4   CH  4   ST &B3 &20 &00
BA    2   CR         0   TR  4   CH  4   Instrument 1
BA    2   CR         0   TR  4   CH  4   NT  E'            1/5   von=100
BA    2   CR         0   TR  4   CH  4   Channel volume 126
BA    2   CR         0   TR  4   CH  4   ST &B3 &0B &64
BA    2   CR         0   TR  4   CH  4   ST &B3 &0A &57
BA    2   CR         0   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR         0   TR  5   CH  5   ST &B4 &00 &00
BA    2   CR         0   TR  5   CH  5   ST &B4 &20 &00
BA    2   CR         0   TR  5   CH  5   Instrument 53
BA    2   CR         0   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    2   CR         0   TR  6   CH  6   ST &B5 &20 &00
BA    2   CR         0   TR  6   CH  6   Instrument 34
BA    2   CR         0   TR  6   CH  6   NT  E--             2   von=100
BA    2   CR         0   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR         0   TR 10   CH 10   ST &B9 &00 &00
BA    2   CR         0   TR 10   CH 10   ST &B9 &20 &00
BA    2   CR         0   TR 10   CH 10   Instrument 1
BA    2   CR      1/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR      1/48   TR  2   CH  2   Channel volume 125
BA    2   CR      1/48   TR  2   CH  2   ST &B1 &0A &19
BA    2   CR      1/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR      1/48   TR  4   CH  4   Channel volume 125
BA    2   CR      1/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR      1/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR      1/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR      1/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR      1/16   TR  4   CH  4   ST &B3 &0B &64
BA    2   CR      1/16   TR  4   CH  4   ST &B3 &0A &57
BA    2   CR      1/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR      1/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR      1/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR      1/12   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR      1/12   TR  2   CH  2   Channel volume 125
BA    2   CR      1/12   TR  2   CH  2   ST &B1 &0A &1A
BA    2   CR      1/12   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR      1/12   TR  4   CH  4   Channel volume 125
BA    2   CR      5/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       1/8   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       1/8   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       1/8   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       1/8   TR  4   CH  4   ST &B3 &0B &64
BA    2   CR       1/8   TR  4   CH  4   ST &B3 &0A &58
BA    2   CR       1/8   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       1/8   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       1/8   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR      7/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR      7/48   TR  2   CH  2   Channel volume 125
BA    2   CR      7/48   TR  2   CH  2   ST &B1 &0A &1B
BA    2   CR      7/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR      7/48   TR  4   CH  4   Channel volume 125
BA    2   CR       1/6   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR      3/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR      3/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR      3/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR      3/16   TR  4   CH  4   ST &B3 &0B &65
BA    2   CR      3/16   TR  4   CH  4   ST &B3 &0A &58
BA    2   CR      3/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR      3/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR      3/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR      5/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR      5/24   TR  2   CH  2   Channel volume 125
BA    2   CR      5/24   TR  2   CH  2   ST &B1 &0A &1D
BA    2   CR      5/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR      5/24   TR  4   CH  4   Channel volume 125
BA    2   CR     11/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       1/4   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       1/4   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       1/4   TR  2   CH  2   NT  G'           9/40   von=80
BA    2   CR       1/4   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       1/4   TR  4   CH  4   NT  G'           9/40
BA    2   CR       1/4   TR  4   CH  4   ST &B3 &0B &65
BA    2   CR       1/4   TR  4   CH  4   ST &B3 &0A &59
BA    2   CR       1/4   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       1/4   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       1/4   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     13/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     13/48   TR  2   CH  2   Channel volume 125
BA    2   CR     13/48   TR  2   CH  2   ST &B1 &0A &1E
BA    2   CR     13/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     13/48   TR  4   CH  4   Channel volume 125
BA    2   CR      7/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR      5/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR      5/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR      5/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR      5/16   TR  4   CH  4   ST &B3 &0B &66
BA    2   CR      5/16   TR  4   CH  4   ST &B3 &0A &5A
BA    2   CR      5/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR      5/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR      5/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR       1/3   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR       1/3   TR  2   CH  2   Channel volume 125
BA    2   CR       1/3   TR  2   CH  2   ST &B1 &0A &20
BA    2   CR       1/3   TR  4   CH  4   ST &B3 &5B &64
