format=0 tracks=1 division=480

BA    1   CR         0   TR  0   CH 16   Text type 3: ""
BA    1   CR         0   TR  0   CH 16   Time signature 6/8, clocks/mtick 12, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key F major
BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH  1   ST &B0 &0B &22
BA    1   CR         0   TR  0   CH  2   ST &B1 &0B &22
BA    1   CR      1/16   TR  0   CH  1   ST &B0 &0B &22
BA    1   CR      1/16   TR  0   CH  2   ST &B1 &0B &22
BA    1   CR       1/8   TR  0   CH  1   ST &B0 &0B &23
BA    1   CR       1/8   TR  0   CH  2   ST &B1 &0B &23
BA    1   CR      3/16   TR  0   CH  1   ST &B0 &0B &24
BA    1   CR      3/16   TR  0   CH  2   ST &B1 &0B &24
BA    1   CR       1/4   TR  0   CH  1   ST &B0 &0B &25
BA    1   CR       1/4   TR  0   CH  2   ST &B1 &0B &25
BA    1   CR      5/16   TR  0   CH  1   ST &B0 &0B &26
BA    1   CR      5/16   TR  0   CH  2   ST &B1 &0B &26
BA    1   CR       3/8   TR  0   CH  1   ST &B0 &0B &27
BA    1   CR       3/8   TR  0   CH  2   ST &B1 &0B &27
BA    1   CR      7/16   TR  0   CH  1   ST &B0 &0B &28
BA    1   CR      7/16   TR  0   CH  2   ST &B1 &0B &28
BA    1   CR       1/2   TR  0   CH  1   ST &B0 &0B &29
BA    1   CR       1/2   TR  0   CH  2   ST &B1 &0B &29
BA    1   CR      9/16   TR  0   CH  1   ST &B0 &0B &2A
BA    1   CR      9/16   TR  0   CH  2   ST &B1 &0B &2A
BA    1   CR       5/8   TR  0   CH  1   ST &B0 &0B &2B
BA    1   CR       5/8   TR  0   CH  2   ST &B1 &0B &2B
BA    1   CR     11/16   TR  0   CH  1   ST &B0 &0B &2C
BA    1   CR     11/16   TR  0   CH  2   ST &B1 &0B &2C
BA    1   CR       3/4   TR  0   CH  1   ST &B0 &0B &2D
BA    1   CR       3/4   TR  0   CH  2   ST &B1 &0B &2D
BA    1   CR     13/16   TR  0   CH  1   ST &B0 &0B &2E
BA    1   CR     13/16   TR  0   CH  2   ST &B1 &0B &2E
BA    1   CR       7/8   TR  0   CH  1   ST &B0 &0B &2F
BA    1   CR       7/8   TR  0   CH  2   ST &B1 &0B &2F
BA    1   CR     15/16   TR  0   CH  1   ST &B0 &0B &30
BA    1   CR     15/16   TR  0   CH  2   ST &B1 &0B &30
BA    1   CR         1   TR  0   CH  1   ST &B0 &0B &31
BA    1   CR         1   TR  0   CH  2   ST &B1 &0B &31
BA    1   CR    1+1/16   TR  0   CH  1   ST &B0 &0B &32
BA    1   CR    1+1/16   TR  0   CH  2   ST &B1 &0B &32
BA    1   CR     1+1/8   TR  0   CH  1   ST &B0 &0B &33
BA    1   CR     1+1/8   TR  0   CH  2   ST &B1 &0B &33
BA    1   CR    1+3/16   TR  0   CH  1   ST &B0 &0B &34
BA    1   CR    1+3/16   TR  0   CH  2   ST &B1 &0B &34
BA    1   CR     1+1/4   TR  0   CH  1   ST &B0 &0B &35
BA    1   CR     1+1/4   TR  0   CH  2   ST &B1 &0B &35
BA    1   CR    1+5/16   TR  0   CH  1   ST &B0 &0B &36
BA    1   CR    1+5/16   TR  0   CH  2   ST &B1 &0B &36
BA    1   CR     1+3/8   TR  0   CH  1   ST &B0 &0B &37
BA    1   CR     1+3/8   TR  0   CH  2   ST &B1 &0B &37
BA    1   CR    1+7/16   TR  0   CH  1   ST &B0 &0B &38
BA    1   CR    1+7/16   TR  0   CH  2   ST &B1 &0B &38
BA    1   CR     1+1/2   TR  0   CH  1   ST &B0 &0B &39
BA    1   CR     1+1/2   TR  0   CH  2   ST &B1 &0B &39
BA    1   CR    1+9/16   TR  0   CH  1   ST &B0 &0B &3A
BA    1   CR    1+9/16   TR  0   CH  2   ST &B1 &0B &3A
BA    1   CR     1+5/8   TR  0   CH  1   ST &B0 &0B &3B
BA    1   CR     1+5/8   TR  0   CH  2   ST &B1 &0B &3B
BA    1   CR   1+11/16   TR  0   CH  1   ST &B0 &0B &3C
BA    1   CR   1+11/16   TR  0   CH  2   ST &B1 &0B &3C
BA    1   CR     1+3/4   TR  0   CH  1   ST &B0 &0B &3D
BA    1   CR     1+3/4   TR  0   CH  2   ST &B1 &0B &3D
BA    1   CR   1+13/16   TR  0   CH  1   ST &B0 &0B &3E
BA    1   CR   1+13/16   TR  0   CH  2   ST &B1 &0B &3E
BA    1   CR     1+7/8   TR  0   CH  1   ST &B0 &0B &3F
BA    1   CR     1+7/8   TR  0   CH  2   ST &B1 &0B &3F
BA    1   CR   1+15/16   TR  0   CH  1   ST &B0 &0B &40
BA    1   CR   1+15/16   TR  0   CH  2   ST &B1 &0B &40
BA    1   CR         2   TR  0   CH  1   ST &B0 &0B &41
BA    1   CR         2   TR  0   CH  2   ST &B1 &0B &41
BA    1   CR    2+1/16   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR    2+1/16   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR     2+1/8   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR     2+1/8   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR    2+3/16   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR    2+3/16   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR     2+1/4   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR     2+1/4   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR    2+5/16   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR    2+5/16   TR  0   CH  2   ST &B1 &0B &46
BA    1   CR     2+3/8   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR     2+3/8   TR  0   CH  2   ST &B1 &0B &47
BA    1   CR    2+7/16   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR    2+7/16   TR  0   CH  2   ST &B1 &0B &48
BA    1   CR     2+1/2   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR     2+1/2   TR  0   CH  2   ST &B1 &0B &49
BA    1   CR    2+9/16   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR    2+9/16   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR     2+5/8   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR     2+5/8   TR  0   CH  2   ST &B1 &0B &4B
BA    1   CR   2+11/16   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR   2+11/16   TR  0   CH  2   ST &B1 &0B &4C
BA    1   CR     2+3/4   TR  0   CH  1   ST &B0 &0B &4C
BA    1   CR     2+3/4   TR  0   CH  2   ST &B1 &0B &4D
BA    1   CR   2+13/16   TR  0   CH  1   ST &B0 &0B &4D
BA    1   CR   2+13/16   TR  0   CH  2   ST &B1 &0B &4E
BA    1   CR     2+7/8   TR  0   CH  1   ST &B0 &0B &4E
BA    1   CR     2+7/8   TR  0   CH  2   ST &B1 &0B &4F
BA    1   CR   2+15/16   TR  0   CH  1   ST &B0 &0B &4F
BA    1   CR   2+15/16   TR  0   CH  2   ST &B1 &0B &50

BA    2   CR         0   TR  0   CH 16   Tempo 90.0001
BA    2   CR         0   TR  0   CH  1   Sysex event &F0  &7E &7F &09 &01 &F7
BA    2   CR         0   TR  0   CH  1   ST &B0 &20 &00
BA    2   CR         0   TR  0   CH  1   ST &B0 &00 &00
BA    2   CR         0   TR  0   CH  1   Instrument 61
BA    2   CR         0   TR  0   CH  1   NT  D            9/40   von=100
BA    2   CR         0   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR         0   TR  0   CH  1   ST &B0 &0B &50
BA    2   CR         0   TR  0   CH  2   ST &B1 &20 &00
BA    2   CR         0   TR  0   CH  2   ST &B1 &00 &00
BA    2   CR         0   TR  0   CH  2   Instrument 61
BA    2   CR         0   TR  0   CH  2   NT  A-           9/40
BA    2   CR         0   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR         0   TR  0   CH  2   ST &B1 &0B &50
BA    2   CR         0   TR  0   CH  3   ST &B2 &20 &00
BA    2   CR         0   TR  0   CH  3   ST &B2 &00 &00
BA    2   CR         0   TR  0   CH  3   Instrument 69
BA    2   CR         0   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR         0   TR  0   CH  4   ST &B3 &20 &00
BA    2   CR         0   TR  0   CH  4   ST &B3 &00 &00
BA    2   CR         0   TR  0   CH  4   Instrument 69
BA    2   CR         0   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR         0   TR  0   CH  4   Channel volume 85
BA    2   CR         0   TR  0   CH  5   ST &B4 &20 &00
BA    2   CR         0   TR  0   CH  5   ST &B4 &00 &00
BA    2   CR         0   TR  0   CH  5   Instrument 47
