format=1 tracks=12 division=96

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Tempo 133
BA    1   CR         0   TR  1   CH 16   End of track
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI Out"
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 100
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 100
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 100
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 100
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   NT  C--           1/4   von=100
BA    1   CR         0   TR  2   CH 10   NT  A---          1/4
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI Out #3"
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 100
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 100
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 1
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 100
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 1
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 100
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 1
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI Out #5"
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  4   CH  3   Channel volume 100
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
