format=1 tracks=9 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 146
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "main melody"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &4C
BA    1   CR         0   TR  1   CH  1   Channel volume 54
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &4C
BA    1   CR         0   TR  1   CH  1   Channel volume 54
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 41
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &4C
BA    1   CR         0   TR  1   CH  1   Channel volume 54
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 41
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &4C
BA    1   CR         0   TR  1   CH  1   Channel volume 54
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 41
BA    1   CR         0   TR  2   CH 16   Text type 3: "main melody #2"
BA    1   CR         0   TR  2   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  2   CH  6   Channel volume 55
BA    1   CR         0   TR  2   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  2   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  2   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  2   CH  6   Channel volume 55
BA    1   CR         0   TR  2   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  2   CH  6   Instrument 105
BA    1   CR         0   TR  2   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  2   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  2   CH  6   Channel volume 55
BA    1   CR         0   TR  2   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  2   CH  6   Instrument 105
BA    1   CR         0   TR  2   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  2   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  2   CH  6   Channel volume 55
BA    1   CR         0   TR  2   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  2   CH  6   Instrument 105
BA    1   CR         0   TR  3   CH 16   Text type 3: "arpeggio"
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &2D
BA    1   CR         0   TR  3   CH  2   Channel volume 60
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &2D
BA    1   CR         0   TR  3   CH  2   Channel volume 60
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 5
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &2D
BA    1   CR         0   TR  3   CH  2   Channel volume 60
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 5
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &2D
BA    1   CR         0   TR  3   CH  2   Channel volume 60
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 5
BA    1   CR         0   TR  4   CH 16   Text type 3: "Bass"
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &37
BA    1   CR         0   TR  4   CH  3   Channel volume 84
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &37
BA    1   CR         0   TR  4   CH  3   Channel volume 84
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   Instrument 17
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &37
BA    1   CR         0   TR  4   CH  3   Channel volume 84
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   Instrument 17
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
