format=1 tracks=6 division=384

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Meta Event   type &7F   0 0 65
BA    1   CR         0   TR  0   CH 16   Meta Event   type &7F   0 0 119 14 0
BA    1   CR         0   TR  0   CH 16   Tempo 154.8005
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  1   Instrument 82
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   NT  C             1/3   von=100   voff=100
BA    1   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  2   CH  2   Instrument 81
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  3   CH  3   Instrument 88
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   NT  C             1/6   von=100   voff=100
BA    1   CR         0   TR  4   CH 10   Channel volume 100
BA    1   CR         0   TR  4   CH 10   NT  D--           1/6   von=100   voff=100
BA    1   CR         0   TR  5   CH 16   End of track
BA    1   CR       1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR       1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    1   CR       1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR       3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR         1   TR  1   CH  1   NT  F'            1/3   voff=100
BA    1   CR         1   TR  2   CH  2   NT  Bb'           1/3   von=100   voff=100
BA    1   CR         1   TR  3   CH  3   NT  C             1/6   voff=100
BA    1   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR     1+1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    1   CR     1+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR     1+3/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    1   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR         2   TR  1   CH  1   NT  G'            1/3   voff=100
BA    1   CR         2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    1   CR         2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR     2+1/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    1   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR     2+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    1   CR     2+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    1   CR     2+3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR         3   TR  1   CH  1   NT  C             1/3   voff=100
BA    1   CR         3   TR  3   CH  3   NT  C-            1/6   voff=100
BA    1   CR     3+1/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    1   CR     3+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    1   CR     3+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    1   CR     3+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
