format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 110
BA    1   CR         0   TR  0   CH 16   Text type 6: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 6: "Copyright © 2000 by bombac"
BA    1   CR         0   TR  0   CH 16   Text type 6: "bombac"
BA    1   CR         0   TR  0   CH  1   ST &B0 &00 &05
BA    1   CR         0   TR  0   CH  1   ST &B0 &20 &57
BA    1   CR         0   TR  0   CH  1   Instrument 26
BA    1   CR         0   TR  0   CH  1   Channel volume 100
BA    1   CR         0   TR  0   CH 10   Channel volume 100
BA    1   CR         0   TR  0   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  0   CH  2   ST &B1 &20 &78
BA    1   CR         0   TR  0   CH  2   Instrument 25
BA    1   CR         0   TR  0   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  0   CH  3   ST &B2 &20 &78
BA    1   CR         0   TR  0   CH  3   Instrument 26
BA    1   CR         0   TR  0   CH 10   NT  B---          1/4   von=100
BA    1   CR         0   TR  0   CH  2   Channel volume 127
BA    1   CR         0   TR  0   CH  3   Channel volume 100
BA    1   CR       1/2   TR  0   CH 10   NT  D--           1/4
BA    1   CR         1   TR  0   CH 10   NT  B---          1/4
BA    1   CR     1+1/4   TR  0   CH 10   NT  B---          1/4
BA    1   CR     1+1/2   TR  0   CH 10   NT  D--           1/4
BA    1   CR         2   TR  0   CH 10   NT  D--           1/4
BA    1   CR         3   TR  0   CH 10   NT  F#--          1/4

BA    2   CR         0   TR  0   CH  1   NT  G#            1/4
BA    2   CR         0   TR  0   CH 10   NT  C--           1/4
BA    2   CR         0   TR  0   CH 10   NT  D--           1/4
BA    2   CR         0   TR  0   CH  3   NT  E-            1/4
BA    2   CR       1/4   TR  0   CH  3   NT  G#-           1/4
BA    2   CR       1/4   TR  0   CH 10   NT  D--           1/4
BA    2   CR       1/2   TR  0   CH  3   NT  B-            1/4
BA    2   CR       1/2   TR  0   CH 10   NT  C--           1/4
BA    2   CR       1/2   TR  0   CH  1   NT  Bb            1/4
BA    2   CR       3/4   TR  0   CH  3   NT  Eb            1/4
BA    2   CR       3/4   TR  0   CH 10   NT  C--           1/4
BA    2   CR         1   TR  0   CH  1   NT  B             1/4
BA    2   CR         1   TR  0   CH 10   NT  D--           1/4
BA    2   CR         1   TR  0   CH  3   NT  G#            1/4
BA    2   CR     1+1/2   TR  0   CH  2   NT  E               1
BA    2   CR     1+1/2   TR  0   CH 10   NT  F#--          1/4
BA    2   CR     1+1/2   TR  0   CH  1   NT  Eb'             1
BA    2   CR     1+3/4   TR  0   CH 10   NT  F#--          1/4
BA    2   CR     2+1/2   TR  0   CH  1   NT  C#'           1/2
BA    2   CR     2+1/2   TR  0   CH 10   NT  F#--          1/4
BA    2   CR         3   TR  0   CH  1   NT  Bb            1/2
BA    2   CR         3   TR  0   CH 10   NT  F#--          1/8
BA    2   CR     3+1/2   TR  0   CH  1   NT  G#            1/2

BA    3   CR         0   TR  0   CH 10   NT  C--           1/4
BA    3   CR         0   TR  0   CH 10   NT  D--           1/4
BA    3   CR         0   TR  0   CH  3   NT  Eb-           1/4
BA    3   CR         0   TR  0   CH  1   NT  F#            1/4
BA    3   CR       1/4   TR  0   CH 10   NT  D--           1/4
BA    3   CR       1/4   TR  0   CH  3   NT  F#-           1/4
BA    3   CR       1/2   TR  0   CH  3   NT  Bb-           1/4
BA    3   CR       1/2   TR  0   CH  1   NT  G#            1/4
BA    3   CR       1/2   TR  0   CH 10   NT  C--           1/4
BA    3   CR       3/4   TR  0   CH  3   NT  C#            1/4
BA    3   CR       3/4   TR  0   CH 10   NT  C--           1/4
BA    3   CR         1   TR  0   CH 10   NT  D--           1/4
BA    3   CR         1   TR  0   CH  3   NT  F#            1/4
BA    3   CR         1   TR  0   CH  1   NT  Bb            1/4
BA    3   CR     1+1/2   TR  0   CH  2   NT  G#-             1
BA    3   CR     1+1/2   TR  0   CH 10   NT  F#--          1/4
BA    3   CR     1+1/2   TR  0   CH  1   NT  C#'             1
BA    3   CR     1+3/4   TR  0   CH 10   NT  F#--          1/4
BA    3   CR     2+1/2   TR  0   CH 10   NT  F#--          1/4
BA    3   CR     2+1/2   TR  0   CH  1   NT  B             1/2
BA    3   CR         3   TR  0   CH  1   NT  Bb            1/2
BA    3   CR         3   TR  0   CH 10   NT  F#--          1/8
BA    3   CR     3+1/2   TR  0   CH  1   NT  B             1/2

BA    4   CR         0   TR  0   CH 10   NT  C--           1/4
BA    4   CR         0   TR  0   CH 10   NT  D--           1/4
BA    4   CR         0   TR  0   CH  1   NT  G#            1/4
BA    4   CR         0   TR  0   CH  3   NT  C#-           1/4
BA    4   CR       1/4   TR  0   CH  3   NT  E-            1/4
BA    4   CR       1/4   TR  0   CH 10   NT  D--           1/4
