format=1 tracks=5 division=48

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 10   NT  Eb'           1/4   von=127
BA    1   CR         0   TR  2   CH  2   Instrument 82
BA    1   CR         0   TR  3   CH 10   NT  G#--          1/4   von=127
BA    1   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    1   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    1   CR         1   TR  4   CH 10   NT  Eb-           1/4   von=127
BA    1   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA    1   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    1   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    1   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    1   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA    1   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    1   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    2   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    2   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    2   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    2   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA    2   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    2   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    2   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA    2   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    2   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    2   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    2   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    3   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA    3   CR         0   TR  2   CH  2   NT  C--             1   von=127
BA    3   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    3   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    3   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    3   CR         1   TR  2   CH  2   NT  G---          1/2
BA    3   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    3   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA    3   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA    3   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    3   CR         2   TR  2   CH  2   NT  C--           1/2
BA    3   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    3   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA    3   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    3   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA    3   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    3   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA    3   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    4   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    4   CR       1/2   TR  2   CH  2   NT  C--           1/2
BA    4   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    4   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    4   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA    4   CR         1   TR  2   CH  2   NT  G---            1
BA    4   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    4   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    4   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA    4   CR         2   TR  2   CH  2   NT  C--             1
BA    4   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    4   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    4   CR         3   TR  2   CH  2   NT  Bb---           1
BA    4   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    4   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    5   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA    5   CR         0   TR  2   CH  2   NT  C--             1
BA    5   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    5   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    5   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    5   CR         1   TR  2   CH  2   NT  G---          1/2
BA    5   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    5   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA    5   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA    5   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    5   CR         2   TR  2   CH  2   NT  C--           1/2
BA    5   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    5   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA    5   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    5   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA    5   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    5   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA    5   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    6   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    6   CR       1/2   TR  2   CH  2   NT  C--           1/2
BA    6   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    6   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    6   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA    6   CR         1   TR  2   CH  2   NT  G---            1
BA    6   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    6   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    6   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA    6   CR         2   TR  2   CH  2   NT  C--             1
BA    6   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    6   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    6   CR         3   TR  2   CH  2   NT  Bb---           1
BA    6   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    6   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    7   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA    7   CR         0   TR  2   CH  2   NT  C--             1
BA    7   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    7   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    7   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    7   CR         1   TR  2   CH  2   NT  G---          1/2
