format=1 tracks=5 division=240

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 200
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   NT  G-            1/2   von=83
BA    1   CR         0   TR  1   CH 10   NT  A---          1/2
BA    1   CR         0   TR  2   CH  1   Instrument 33
BA    1   CR         0   TR  2   CH  1   Channel volume 127
BA    1   CR         0   TR  2   CH  1   NT  C--             1   von=83
BA    1   CR         0   TR  3   CH  2   Instrument 25
BA    1   CR         0   TR  3   CH  2   Channel volume 127
BA    1   CR         0   TR  3   CH  2   NT  C             1/2   von=83
BA    1   CR         0   TR  3   CH  2   NT  G-            1/2
BA    1   CR         0   TR  4   CH  3   Instrument 67
BA    1   CR         0   TR  4   CH  3   Channel volume 127
BA    1   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA    1   CR         1   TR  1   CH 10   NT  A---          1/2
BA    1   CR         1   TR  3   CH  2   NT  G-            1/2
BA    1   CR         1   TR  3   CH  2   NT  D             1/2
BA    1   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA    1   CR         2   TR  1   CH 10   NT  A---          1/2
BA    1   CR         2   TR  2   CH  1   NT  G---            1
BA    1   CR         2   TR  3   CH  2   NT  Eb            1/2
BA    1   CR         2   TR  3   CH  2   NT  G-            1/2
BA    1   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA    1   CR         3   TR  1   CH 10   NT  A---          1/2
BA    1   CR         3   TR  3   CH  2   NT  G-            1/2
BA    1   CR         3   TR  3   CH  2   NT  D             1/2
BA    1   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR     3+1/2   TR  2   CH  1   NT  G---          1/2

BA    2   CR         0   TR  1   CH 10   NT  A---          1/2
BA    2   CR         0   TR  2   CH  1   NT  C--             1
BA    2   CR         0   TR  3   CH  2   NT  G-            1/2
BA    2   CR         0   TR  3   CH  2   NT  C             1/2
BA    2   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    2   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA    2   CR         1   TR  1   CH 10   NT  A---          1/2
BA    2   CR         1   TR  3   CH  2   NT  D             1/2
BA    2   CR         1   TR  3   CH  2   NT  G-            1/2
BA    2   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    2   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA    2   CR         2   TR  1   CH 10   NT  A---          1/2
BA    2   CR         2   TR  2   CH  1   NT  G---            1
BA    2   CR         2   TR  3   CH  2   NT  G-            1/2
BA    2   CR         2   TR  3   CH  2   NT  Eb            1/2
BA    2   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    2   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA    2   CR         3   TR  1   CH 10   NT  A---          1/2
BA    2   CR         3   TR  3   CH  2   NT  G-            1/2
BA    2   CR         3   TR  3   CH  2   NT  D             1/2
BA    2   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    2   CR     3+1/2   TR  2   CH  1   NT  G---          1/2

BA    3   CR         0   TR  1   CH 10   NT  A---          1/2
BA    3   CR         0   TR  2   CH  1   NT  C--             1
BA    3   CR         0   TR  3   CH  2   NT  G-            1/2
BA    3   CR         0   TR  3   CH  2   NT  C             1/2
