format=1 tracks=3 division=48

BA    1   CR         0   TR  0   CH 16   Text type 3: "Super Mario Land 2 - Boo House"
BA    1   CR         0   TR  0   CH 16   Text type 1: "sequenced by Chris Read\n"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 170
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Lead 1 (square)"
BA    1   CR         0   TR  1   CH  1   Instrument 81
BA    1   CR         0   TR  1   CH  1   NT  D-              1   von=127
BA    1   CR         0   TR  2   CH 16   Text type 3: "echo"
BA    1   CR         0   TR  2   CH  2   Instrument 81
BA    1   CR       1/4   TR  2   CH  2   NT  D-              1   von=127
BA    1   CR         1   TR  1   CH  1   NT  F#-           1/2
BA    1   CR     1+1/4   TR  2   CH  2   NT  F#-           1/2
BA    1   CR     1+1/2   TR  1   CH  1   NT  A--           1/2
BA    1   CR     1+3/4   TR  2   CH  2   NT  A--           1/2
BA    1   CR         2   TR  1   CH  1   NT  B--           1/2
BA    1   CR     2+1/4   TR  2   CH  2   NT  B--           1/2
BA    1   CR     2+1/2   TR  1   CH  1   NT  C#-           1/2
BA    1   CR     2+3/4   TR  2   CH  2   NT  C#-           1/2
BA    1   CR         3   TR  1   CH  1   NT  D-              1
BA    1   CR     3+1/4   TR  2   CH  2   NT  D-              1

BA    2   CR         0   TR  1   CH  1   NT  A-            1/2
BA    2   CR       1/4   TR  2   CH  2   NT  A-            1/2
BA    2   CR       1/2   TR  1   CH  1   NT  F#-             1
BA    2   CR       3/4   TR  2   CH  2   NT  F#-             1
BA    2   CR         2   TR  1   CH  1   NT  D-              1
BA    2   CR     2+1/4   TR  2   CH  2   NT  D-              1
BA    2   CR         3   TR  1   CH  1   NT  F#-           1/2
BA    2   CR     3+1/4   TR  2   CH  2   NT  F#-           1/2
BA    2   CR     3+1/2   TR  1   CH  1   NT  A--           1/2
BA    2   CR     3+3/4   TR  2   CH  2   NT  A--           1/2

BA    3   CR         0   TR  1   CH  1   NT  B--           1/2
BA    3   CR       1/4   TR  2   CH  2   NT  B--           1/2
BA    3   CR       1/2   TR  1   CH  1   NT  C#-           1/2
BA    3   CR       3/4   TR  2   CH  2   NT  C#-           1/2
BA    3   CR     43/48   TR  2   CH  2   Channel volume 127
BA    3   CR         1   TR  1   CH  1   NT  D-          1+1/2
BA    3   CR         1   TR  2   CH  2   Channel volume 123
BA    3   CR    1+1/12   TR  2   CH  2   Channel volume 119
BA    3   CR    1+3/16   TR  2   CH  2   Channel volume 115
BA    3   CR     1+1/4   TR  2   CH  2   NT  D-          2+3/4
BA    3   CR    1+7/24   TR  2   CH  2   Channel volume 111
BA    3   CR   1+19/48   TR  2   CH  2   Channel volume 107
BA    3   CR     1+1/2   TR  2   CH  2   Channel volume 103
BA    3   CR    1+7/12   TR  2   CH  2   Channel volume 99
BA    3   CR   1+11/16   TR  2   CH  2   Channel volume 95
BA    3   CR   1+19/24   TR  2   CH  2   Channel volume 91
BA    3   CR   1+43/48   TR  2   CH  2   Channel volume 87
BA    3   CR         2   TR  2   CH  2   Channel volume 82
BA    3   CR    2+1/12   TR  2   CH  2   Channel volume 78
BA    3   CR    2+3/16   TR  2   CH  2   Channel volume 74
BA    3   CR    2+7/24   TR  2   CH  2   Channel volume 70
BA    3   CR   2+19/48   TR  2   CH  2   Channel volume 66
BA    3   CR     2+1/2   TR  2   CH  2   Channel volume 62
BA    3   CR    2+7/12   TR  2   CH  2   Channel volume 58
BA    3   CR   2+11/16   TR  2   CH  2   Channel volume 54
BA    3   CR   2+19/24   TR  2   CH  2   Channel volume 50
BA    3   CR   2+43/48   TR  2   CH  2   Channel volume 46
BA    3   CR         3   TR  2   CH  2   Channel volume 41
BA    3   CR    3+1/12   TR  2   CH  2   Channel volume 37
BA    3   CR    3+3/16   TR  2   CH  2   Channel volume 33
BA    3   CR    3+7/24   TR  2   CH  2   Channel volume 29
BA    3   CR   3+19/48   TR  2   CH  2   Channel volume 25
BA    3   CR     3+1/2   TR  2   CH  2   Channel volume 21
BA    3   CR    3+7/12   TR  2   CH  2   Channel volume 17
BA    3   CR   3+11/16   TR  2   CH  2   Channel volume 13
BA    3   CR   3+19/24   TR  2   CH  2   Channel volume 9
