format=1 tracks=3 division=960

BA    1   CR         0   TR  0   CH 16   Text type 3: "Tetris Blast - Training (Nintendo Game Boy)"
BA    1   CR         0   TR  0   CH 16   Text type 1: "The Almighty Pineapple"
BA    1   CR         0   TR  0   CH 16   Text type 1: "\n"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 100
BA    1   CR         0   TR  1   CH 10   NT  F#--          1/2   von=100
BA    1   CR         0   TR  1   CH 10   NT  B---          1/2
BA    1   CR         0   TR  2   CH  1   Instrument 82
BA    1   CR         0   TR  2   CH  1   NT  A             1/4   von=100
BA    1   CR         0   TR  2   CH  1   NT  A--           3/4
BA    1   CR       1/4   TR  2   CH  1   NT  A'            1/4
BA    1   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR       3/4   TR  2   CH  1   NT  A             1/4
BA    1   CR       3/4   TR  2   CH  1   NT  A--           1/4
BA    1   CR         1   TR  1   CH 10   NT  Bb--          1/2
BA    1   CR         1   TR  1   CH 10   NT  D--           1/2
BA    1   CR         1   TR  2   CH  1   NT  A'            1/4
BA    1   CR         1   TR  2   CH  1   NT  C-              1
BA    1   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR     1+1/2   TR  2   CH  1   NT  A             1/4
BA    1   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR         2   TR  1   CH 10   NT  B---          1/2
BA    1   CR         2   TR  2   CH  1   NT  G'            1/2
BA    1   CR         2   TR  2   CH  1   NT  D-            1/2
BA    1   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR     2+1/2   TR  2   CH  1   NT  G'            1/4
BA    1   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    1   CR     2+3/4   TR  2   CH  1   NT  G'            1/2
BA    1   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
BA    1   CR         3   TR  1   CH 10   NT  Bb--          1/2
BA    1   CR         3   TR  1   CH 10   NT  D--           1/2
BA    1   CR     3+1/4   TR  2   CH  1   NT  G#'           1/4
BA    1   CR     3+1/4   TR  2   CH  1   NT  E-            1/4
BA    1   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    1   CR     3+1/2   TR  2   CH  1   NT  A'            1/2
BA    1   CR     3+1/2   TR  2   CH  1   NT  E-            1/2

BA    2   CR         0   TR  0   CH 16   Tempo 100
BA    2   CR         0   TR  1   CH 10   NT  F#--          1/2
BA    2   CR         0   TR  1   CH 10   NT  B---          1/2
BA    2   CR         0   TR  2   CH  1   NT  A--           3/4
