format=1 tracks=4 division=192

BA    1   CR         0   TR  0   CH 16   Text type 3: "Wario Land 2: fire"
BA    1   CR         0   TR  0   CH 16   Text type 1: "By NoteWorthy Composer"
BA    1   CR         0   TR  0   CH 16   Text type 2: "Copyright © 2004 NoteWorthy Software, Inc."
BA    1   CR         0   TR  0   CH 16   Text type 2: "All Rights Reserved"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Generated by NoteWorthy Composer"
BA    1   CR         0   TR  0   CH 16   Tempo 165
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  1   CH 16   Text type 3: "Staff"
BA    1   CR         0   TR  1   CH  1   Channel volume 127
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 127
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &7F
BA    1   CR         0   TR  1   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Staff-1"
BA    1   CR         0   TR  2   CH  2   Channel volume 127
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 127
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &5D &7F
BA    1   CR         0   TR  2   CH  2   Instrument 57
BA    1   CR         0   TR  2   CH  2   Channel volume 127
BA    1   CR         0   TR  2   CH  2   NT  F'        1+47/96   von=127
BA    1   CR         0   TR  3   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  3   CH 16   Text type 3: "Staff-2"
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &5D &7F
BA    1   CR         0   TR  3   CH  3   Instrument 26
BA    1   CR         0   TR  3   CH  3   NT  G-            1/6   von=110
BA    1   CR      1/96   TR  2   CH  2   Channel volume 126
BA    1   CR      1/48   TR  2   CH  2   Channel volume 125
BA    1   CR     7/192   TR  2   CH  2   Channel volume 124
BA    1   CR      3/64   TR  2   CH  2   Channel volume 123
BA    1   CR    11/192   TR  2   CH  2   Channel volume 122
BA    1   CR      7/96   TR  2   CH  2   Channel volume 121
BA    1   CR      1/12   TR  2   CH  2   Channel volume 120
BA    1   CR      3/32   TR  2   CH  2   Channel volume 119
BA    1   CR      7/64   TR  2   CH  2   Channel volume 118
BA    1   CR    23/192   TR  2   CH  2   Channel volume 117
BA    1   CR    25/192   TR  2   CH  2   Channel volume 116
BA    1   CR      7/48   TR  2   CH  2   Channel volume 115
BA    1   CR      5/32   TR  2   CH  2   Channel volume 114
BA    1   CR       1/6   TR  2   CH  2   Channel volume 113
BA    1   CR    35/192   TR  2   CH  2   Channel volume 112
BA    1   CR    37/192   TR  2   CH  2   Channel volume 111
BA    1   CR     13/64   TR  2   CH  2   Channel volume 110
BA    1   CR      7/32   TR  2   CH  2   Channel volume 109
BA    1   CR     11/48   TR  2   CH  2   Channel volume 108
BA    1   CR     23/96   TR  2   CH  2   Channel volume 107
BA    1   CR    49/192   TR  2   CH  2   Channel volume 106
BA    1   CR     17/64   TR  2   CH  2   Channel volume 105
BA    1   CR    53/192   TR  2   CH  2   Channel volume 104
BA    1   CR      7/24   TR  2   CH  2   Channel volume 103
BA    1   CR     29/96   TR  2   CH  2   Channel volume 102
BA    1   CR      5/16   TR  2   CH  2   Channel volume 101
BA    1   CR     21/64   TR  2   CH  2   Channel volume 100
BA    1   CR    65/192   TR  2   CH  2   Channel volume 99
