format=1 tracks=11 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 150.7
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &08 &41
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &08 &41
BA    1   CR         0   TR  1   CH  1   Instrument 81
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &08 &41
BA    1   CR         0   TR  1   CH  1   Instrument 81
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &E0 &08 &41
BA    1   CR         0   TR  1   CH  1   Instrument 81
BA    1   CR         0   TR  1   CH  1   NT  G           95/96   von=99   voff=99
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI out #3"
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  2   CH  3   Channel volume 71
BA    1   CR         0   TR  2   CH  3   ST &E2 &08 &41
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  2   CH  3   Channel volume 71
BA    1   CR         0   TR  2   CH  3   ST &E2 &08 &41
BA    1   CR         0   TR  2   CH  3   Instrument 81
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  2   CH  3   Channel volume 71
BA    1   CR         0   TR  2   CH  3   ST &E2 &08 &41
BA    1   CR         0   TR  2   CH  3   Instrument 81
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  2   CH  3   Channel volume 71
BA    1   CR         0   TR  2   CH  3   ST &E2 &08 &41
BA    1   CR         0   TR  2   CH  3   Instrument 81
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  3   CH  4   Channel volume 77
BA    1   CR         0   TR  3   CH  4   ST &E3 &08 &41
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  3   CH  4   Channel volume 77
BA    1   CR         0   TR  3   CH  4   ST &E3 &08 &41
BA    1   CR         0   TR  3   CH  4   Instrument 82
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  3   CH  4   Channel volume 77
BA    1   CR         0   TR  3   CH  4   ST &E3 &08 &41
BA    1   CR         0   TR  3   CH  4   Instrument 82
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  3   CH  4   Channel volume 77
BA    1   CR         0   TR  3   CH  4   ST &E3 &08 &41
BA    1   CR         0   TR  3   CH  4   Instrument 82
BA    1   CR         0   TR  3   CH  4   NT  C           23/96   von=99   voff=99
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 46
BA    1   CR         0   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 46
BA    1   CR         0   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR         0   TR  4   CH  5   Instrument 82
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 46
BA    1   CR         0   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR         0   TR  4   CH  5   Instrument 82
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 46
BA    1   CR         0   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR         0   TR  4   CH  5   Instrument 82
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   Instrument 25
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   Instrument 25
