format=1 tracks=13 division=96

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Tempo 167
BA    1   CR         0   TR  1   CH 16   Tempo 167
BA    1   CR         0   TR  1   CH 16   Tempo 167
BA    1   CR         0   TR  2   CH 16   Text type 3: "Channel #1"
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 63
BA    1   CR         0   TR  2   CH  1   ST &B0 &5B &3F
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 63
BA    1   CR         0   TR  2   CH  1   ST &B0 &5B &3F
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 63
BA    1   CR         0   TR  2   CH  1   ST &B0 &5B &3F
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 63
BA    1   CR         0   TR  2   CH  1   ST &B0 &5B &3F
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 63
BA    1   CR         0   TR  2   CH  1   ST &B0 &5B &3F
BA    1   CR         0   TR  3   CH 16   Text type 3: "Channel #2"
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  3   CH  2   Channel volume 100
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  3   CH  2   Channel volume 100
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 63
BA    1   CR         0   TR  3   CH  2   ST &B1 &5B &3F
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
