format=1 tracks=4 division=192

BA    1   CR         0   TR  0   CH 16   Tempo 145
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   End of track
BA    1   CR         0   TR  2   CH 16   Text type 3: "Xylophone"
BA    1   CR         0   TR  2   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &00 &7F &00 &41 &F7
BA    1   CR         0   TR  2   CH  1   Instrument 14
BA    1   CR         0   TR  2   CH  1   NT  E               1   von=100   voff=0
BA    1   CR         0   TR  2   CH  1   NT  E'            1/4   voff=0
BA    1   CR         0   TR  3   CH 16   Text type 3: "Standard Kit"
BA    1   CR         0   TR  3   CH 10   ST &B9 &00 &7F
BA    1   CR         0   TR  3   CH 10   Instrument 1
BA    1   CR         0   TR  3   CH 10   NT  A             1/4   von=100   voff=0
BA    1   CR       1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR       1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR       1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR       1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR       1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR       3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR       3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR       3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR         1   TR  2   CH  1   NT  B-              1   voff=0
BA    1   CR         1   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR         1   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR         1   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     1+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR     1+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR     1+1/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     1+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR     1+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR     1+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    1   CR     1+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    1   CR     1+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR         2   TR  2   CH  1   NT  E               1   voff=0
BA    1   CR         2   TR  2   CH  1   NT  E'            1/4   voff=0
BA    1   CR         2   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     2+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR     2+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR     2+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR     2+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR     2+1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     2+3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR     2+3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR     2+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR         3   TR  2   CH  1   NT  B-              1   voff=0
BA    1   CR         3   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR         3   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR         3   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     3+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    1   CR     3+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    1   CR     3+1/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    1   CR     3+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    1   CR     3+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    1   CR     3+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    1   CR     3+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    1   CR     3+3/4   TR  3   CH 10   NT  A             1/4   voff=0

BA    2   CR         0   TR  2   CH  1   NT  E               1   voff=0
BA    2   CR         0   TR  2   CH  1   NT  E'            1/4   voff=0
BA    2   CR         0   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR       1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    2   CR       1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    2   CR       1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    2   CR       1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    2   CR       1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR       3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    2   CR       3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    2   CR       3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR         1   TR  2   CH  1   NT  B-              1   voff=0
BA    2   CR         1   TR  2   CH  1   NT  B             1/4   voff=0
BA    2   CR         1   TR  2   CH  1   NT  B'            1/4   voff=0
BA    2   CR         1   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR     1+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    2   CR     1+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    2   CR     1+1/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR     1+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    2   CR     1+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    2   CR     1+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    2   CR     1+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    2   CR     1+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR         2   TR  2   CH  1   NT  E               1   voff=0
BA    2   CR         2   TR  2   CH  1   NT  E'            1/4   voff=0
BA    2   CR         2   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR     2+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    2   CR     2+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    2   CR     2+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    2   CR     2+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    2   CR     2+1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR     2+3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    2   CR     2+3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    2   CR     2+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR         3   TR  2   CH  1   NT  B-              1   voff=0
BA    2   CR         3   TR  2   CH  1   NT  B             1/4   voff=0
BA    2   CR         3   TR  2   CH  1   NT  B'            1/4   voff=0
BA    2   CR         3   TR  3   CH 10   NT  A             1/4   voff=0
BA    2   CR     3+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
