format=1 tracks=11 division=96

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Tempo 69
BA    1   CR         0   TR  1   CH 16   Tempo 69
BA    1   CR         0   TR  1   CH 16   Tempo 69
BA    1   CR         0   TR  1   CH 16   End of track
BA    1   CR         0   TR  2   CH 16   Text type 3: "Steel Guitar"
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &2A
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   Instrument 26
BA    1   CR         0   TR  2   CH  1   Channel volume 64
BA    1   CR         0   TR  2   CH  1   NT  D-              2   von=100
BA    1   CR         0   TR  3   CH 16   Text type 3: "AC Bass"
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 33
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 33
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 33
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  3   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 33
BA    1   CR         0   TR  3   CH  2   ST &B1 &0A &5A
BA    1   CR         0   TR  3   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  3   CH  2   Instrument 33
BA    1   CR         0   TR  3   CH  2   Channel volume 96
BA    1   CR         0   TR  4   CH 16   Text type 3: "Harmonica"
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &45
BA    1   CR         0   TR  4   CH  3   Channel volume 78
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &45
BA    1   CR         0   TR  4   CH  3   Channel volume 78
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   Instrument 23
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &45
BA    1   CR         0   TR  4   CH  3   Channel volume 78
