format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    1   CR         0   TR  0   CH 16   Text type 2: "Copyright © 2009 by Teck (Don O'Breslin)"
BA    1   CR         0   TR  0   CH 16   Text type 1: "I'll be honest, this doesn't really sound like Mega Man.\n"
BA    1   CR         0   TR  0   CH 16   Time signature 1/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 150
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  1   CH 16   Text type 3: "Hammer Bass"
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &20 &60
BA    1   CR         0   TR  1   CH  1   Instrument 39
BA    1   CR         0   TR  1   CH  1   Channel volume 100
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &4A &41
BA    1   CR         0   TR  1   CH  1   ST &B0 &47 &28
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &46
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &6E
BA    1   CR         0   TR  2   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Lead Stuff (main)"
BA    1   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &20 &12
BA    1   CR         0   TR  2   CH  2   Instrument 82
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &32
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &03
BA    1   CR         0   TR  2   CH  2   ST &B1 &26 &10
BA    1   CR         0   TR  2   CH  2   ST &B1 &63 &01
BA    1   CR         0   TR  2   CH  2   ST &B1 &62 &0A
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &4A
BA    1   CR         0   TR  2   CH  2   ST &B1 &26 &1C
BA    1   CR         0   TR  2   CH  2   ST &B1 &01 &23
