format=1 tracks=9 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 182
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Alan Ramirez"
BA    1   CR         0   TR  1   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  1   CH  8   Channel volume 100
BA    1   CR         0   TR  1   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  1   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  1   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  1   CH  8   Channel volume 100
BA    1   CR         0   TR  1   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  1   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  1   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  1   CH  8   Channel volume 100
BA    1   CR         0   TR  1   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  1   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  1   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  1   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  1   CH  8   Channel volume 100
BA    1   CR         0   TR  1   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
BA    1   CR         0   TR  2   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  2   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  2   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  2   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  2   CH  1   Channel volume 100
