format=1 tracks=8 division=192

BA    1   CR         0   TR  0   CH 16   Tempo 196
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH  3   Instrument 82
BA    1   CR         0   TR  1   CH  3   Channel volume 100
BA    1   CR         0   TR  2   CH 10   Instrument 83
BA    1   CR         0   TR  2   CH 10   Channel volume 110
BA    1   CR         0   TR  3   CH  2   Instrument 34
BA    1   CR         0   TR  3   CH  2   Channel volume 100
BA    1   CR         0   TR  4   CH  5   Instrument 57
BA    1   CR         0   TR  4   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  6   Instrument 96
BA    1   CR         0   TR  5   CH  6   Channel volume 80
BA    1   CR         0   TR  6   CH  8   Instrument 19
BA    1   CR         0   TR  6   CH  8   Channel volume 100
BA    1   CR         0   TR  7   CH  9   Instrument 19
BA    1   CR         0   TR  7   CH  9   Channel volume 70
BA    1   CR       1/2   TR  2   CH 10   NT  C--           1/2   von=100
BA    1   CR         1   TR  2   CH 10   NT  D--             1
BA    1   CR    1+1/96   TR  2   CH 10   NT  C#-         95/96
BA    1   CR         2   TR  1   CH  3   NT  E           1+1/2   von=100
BA    1   CR         2   TR  2   CH 10   NT  C#-             1
BA    1   CR    2+1/96   TR  3   CH  2   NT  E-          11/24   von=100
BA    1   CR   2+31/64   TR  3   CH  2   NT  E-          33/64
BA    1   CR         3   TR  2   CH 10   NT  D--             1
BA    1   CR         3   TR  6   CH  8   NT  E''           1/2   von=100
BA    1   CR    3+1/96   TR  3   CH  2   NT  E-          47/96
BA    1   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA    1   CR 3+101/192   TR  3   CH  2   NT  E-         91/192

BA    2   CR         0   TR  6   CH  8   NT  E''           1/2
BA    2   CR     5/192   TR  3   CH  2   NT  E-         91/192
BA    2   CR       1/2   TR  6   CH  8   NT  Eb''          1/2
BA    2   CR   101/192   TR  3   CH  2   NT  E-         91/192
BA    2   CR         1   TR  1   CH  3   NT  B               1
BA    2   CR         1   TR  2   CH 10   NT  D--             1
BA    2   CR    1+1/96   TR  3   CH  2   NT  E-          47/96
BA    2   CR     1+1/2   TR  6   CH  8   NT  E''           1/2
BA    2   CR   1+25/48   TR  3   CH  2   NT  E-         91/192
BA    2   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA    2   CR         2   TR  3   CH  2   NT  E-         91/192
BA    2   CR   2+25/48   TR  3   CH  2   NT  E-          15/32
BA    2   CR 2+109/192   TR  6   CH  8   NT  Eb''        11/24
BA    2   CR         3   TR  2   CH 10   NT  D--             1
BA    2   CR    3+1/96   TR  3   CH  2   NT  E-         91/192
BA    2   CR     3+1/2   TR  1   CH  3   NT  G#        2+49/96
BA    2   CR     3+1/2   TR  6   CH  8   NT  B'              2
BA    2   CR   3+25/48   TR  3   CH  2   NT  E-         91/192

BA    3   CR      1/96   TR  3   CH  2   NT  E-            1/2
BA    3   CR     25/48   TR  3   CH  2   NT  E-          15/32
BA    3   CR         1   TR  2   CH 10   NT  D--             1
BA    3   CR         1   TR  3   CH  2   NT  E-            1/2
BA    3   CR   1+25/48   TR  3   CH  2   NT  E-          15/32
BA    3   CR         2   TR  1   CH  3   NT  E           1+1/2
BA    3   CR         2   TR  3   CH  2   NT  Eb-           1/2
BA    3   CR   2+25/48   TR  3   CH  2   NT  Eb-        91/192
BA    3   CR         3   TR  2   CH 10   NT  D--             1
BA    3   CR         3   TR  3   CH  2   NT  Eb-           1/2
BA    3   CR         3   TR  6   CH  8   NT  C#''          1/2
BA    3   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA    3   CR   3+25/48   TR  3   CH  2   NT  Eb-         15/32

BA    4   CR         0   TR  3   CH  2   NT  Eb-           1/2
BA    4   CR      1/96   TR  6   CH  8   NT  C#''          1/2
BA    4   CR       1/2   TR  6   CH  8   NT  B'            1/2
BA    4   CR     25/48   TR  3   CH  2   NT  Eb-        91/192
BA    4   CR         1   TR  1   CH  3   NT  B               1
BA    4   CR         1   TR  2   CH 10   NT  D--             1
BA    4   CR         1   TR  3   CH  2   NT  Eb-         47/96
BA    4   CR     1+1/2   TR  6   CH  8   NT  C#''          1/2
BA    4   CR   1+25/48   TR  3   CH  2   NT  Eb-        91/192
BA    4   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA    4   CR         2   TR  3   CH  2   NT  Eb-        95/192
BA    4   CR     2+1/2   TR  6   CH  8   NT  B'            1/2
BA    4   CR   2+25/48   TR  3   CH  2   NT  Eb-         15/32
BA    4   CR         3   TR  2   CH 10   NT  D--             1
BA    4   CR         3   TR  3   CH  2   NT  Eb-           1/2
BA    4   CR     3+1/2   TR  1   CH  3   NT  G#      2+101/192
BA    4   CR     3+1/2   TR  6   CH  8   NT  G#'             2
BA    4   CR   3+25/48   TR  3   CH  2   NT  Eb-         15/32

BA    5   CR         0   TR  3   CH  2   NT  Eb-           1/2
BA    5   CR     25/48   TR  3   CH  2   NT  Eb-         15/32
BA    5   CR         1   TR  2   CH 10   NT  D--             1
BA    5   CR         1   TR  3   CH  2   NT  Eb-        95/192
BA    5   CR   1+25/48   TR  2   CH 10   NT  D--         23/48
BA    5   CR   1+25/48   TR  3   CH  2   NT  Eb-         15/32
BA    5   CR         2   TR  1   CH  3   NT  E           1+1/2
BA    5   CR         2   TR  3   CH  2   NT  D-         95/192
BA    5   CR   2+25/48   TR  3   CH  2   NT  D-          15/32
BA    5   CR         3   TR  2   CH 10   NT  D--             1
BA    5   CR         3   TR  3   CH  2   NT  D-         95/192
BA    5   CR         3   TR  6   CH  8   NT  E''           1/2
BA    5   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA    5   CR   3+25/48   TR  3   CH  2   NT  D-          15/32

BA    6   CR         0   TR  3   CH  2   NT  D-         95/192
