format=1 tracks=8 division=192

BA    1   CR         0   TR  0   CH 16   Tempo 160
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Track 1"
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &5C
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &64
BA    1   CR         0   TR  1   CH  1   Instrument 85
BA    1   CR         0   TR  1   CH  1   NT  A-            1/2   von=100   voff=0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Track 2"
BA    1   CR         0   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR         0   TR  2   CH  2   Instrument 36
BA    1   CR         0   TR  2   CH  2   NT  A--           1/4   von=100   voff=0
BA    1   CR         0   TR  3   CH 16   Text type 3: "Track 3"
BA    1   CR         0   TR  3   CH  3   ST &B2 &5D &44
BA    1   CR         0   TR  3   CH  3   Instrument 68
BA    1   CR         0   TR  3   CH  3   NT  E           3+1/2   von=100   voff=0
BA    1   CR         0   TR  4   CH 16   Text type 3: "Track 4"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &17
BA    1   CR         0   TR  4   CH  4   ST &B3 &5D &47
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &44
BA    1   CR         0   TR  4   CH  4   Instrument 82
BA    1   CR         0   TR  4   CH  4   NT  E           3+1/2   von=100   voff=0
BA    1   CR         0   TR  5   CH 16   Text type 3: "Track 5"
BA    1   CR         0   TR  5   CH  5   ST &B4 &5D &5C
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &64
BA    1   CR         0   TR  5   CH  5   Instrument 31
BA    1   CR         0   TR  5   CH  5   NT  A-            1/2   von=100   voff=0
BA    1   CR         0   TR  6   CH 16   Text type 3: "Track 6"
BA    1   CR         0   TR  6   CH  6   Instrument 51
BA    1   CR         0   TR  7   CH 16   Text type 3: "Track 10"
BA    1   CR         0   TR  7   CH 10   ST &B9 &5D &42
BA    1   CR         0   TR  7   CH 10   ST &B9 &5B &42
BA    1   CR         0   TR  7   CH 10   Instrument 25
BA    1   CR         0   TR  7   CH 10   NT  B---          1/4   von=100   voff=0
BA    1   CR         0   TR  7   CH 10   NT  C#-           1/4   voff=0
BA    1   CR         0   TR  7   CH 10   NT  E-            1/4   voff=0
BA    1   CR         0   TR  7   CH 10   NT  A-            1/4   voff=0
BA    1   CR      1/48   TR  1   CH  1   ST &B0 &0A &71
BA    1   CR      1/48   TR  1   CH  1   ST &B0 &5B &5C
BA    1   CR      1/48   TR  1   CH  1   ST &B0 &5D &64
BA    1   CR      1/48   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR      1/48   TR  2   CH  2   ST &B1 &5D &7F
BA    1   CR      1/48   TR  3   CH  3   ST &B2 &0A &12
BA    1   CR      1/48   TR  3   CH  3   ST &B2 &5B &47
BA    1   CR      1/48   TR  3   CH  3   ST &B2 &5D &44
BA    1   CR      1/48   TR  4   CH  4   ST &B3 &0A &17
BA    1   CR      1/48   TR  4   CH  4   ST &B3 &5D &47
BA    1   CR      1/48   TR  4   CH  4   ST &B3 &5B &44
BA    1   CR      1/48   TR  5   CH  5   ST &B4 &0A &71
BA    1   CR      1/48   TR  5   CH  5   ST &B4 &5D &5C
BA    1   CR      1/48   TR  5   CH  5   ST &B4 &5B &64
BA    1   CR      1/48   TR  7   CH 10   ST &B9 &5D &42
BA    1   CR      1/48   TR  7   CH 10   ST &B9 &5B &42
BA    1   CR      1/24   TR  1   CH  1   ST &B0 &5B &5C
BA    1   CR      1/24   TR  1   CH  1   ST &B0 &5D &64
BA    1   CR      1/24   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR      1/24   TR  2   CH  2   ST &B1 &5D &7F
BA    1   CR      1/24   TR  3   CH  3   ST &B2 &0A &12
BA    1   CR      1/24   TR  3   CH  3   ST &B2 &5D &44
BA    1   CR      1/24   TR  4   CH  4   ST &B3 &5D &47
BA    1   CR      1/24   TR  4   CH  4   ST &B3 &5B &44
BA    1   CR      1/24   TR  5   CH  5   ST &B4 &5D &5C
BA    1   CR      1/24   TR  5   CH  5   ST &B4 &5B &64
BA    1   CR      1/24   TR  7   CH 10   ST &B9 &5D &42
BA    1   CR      1/24   TR  7   CH 10   ST &B9 &5B &42
BA    1   CR      1/16   TR  1   CH  1   ST &B0 &5B &5F
BA    1   CR      1/16   TR  1   CH  1   ST &B0 &5D &64
BA    1   CR      1/16   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR      1/16   TR  2   CH  2   ST &B1 &5D &7F
BA    1   CR      1/16   TR  5   CH  5   ST &B4 &5D &5F
BA    1   CR      1/16   TR  5   CH  5   ST &B4 &5B &64
BA    1   CR      1/16   TR  7   CH 10   ST &B9 &5D &42
BA    1   CR      1/16   TR  7   CH 10   ST &B9 &5B &42
BA    1   CR      1/12   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR      1/12   TR  2   CH  2   ST &B1 &5D &7F
BA    1   CR      1/12   TR  5   CH  5   ST &B4 &5B &64
BA    1   CR      1/12   TR  7   CH 10   ST &B9 &5B &42
BA    1   CR      5/48   TR  2   CH  2   ST &B1 &5B &7F
BA    1   CR       1/4   TR  2   CH  2   NT  A-            1/4   voff=0
BA    1   CR       1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR       1/2   TR  2   CH  2   NT  A--           1/2   voff=0
BA    1   CR       1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR         1   TR  1   CH  1   NT  A-            1/2   voff=0
BA    1   CR         1   TR  2   CH  2   NT  A--           1/4   voff=0
BA    1   CR         1   TR  5   CH  5   NT  A-            1/2   voff=0
BA    1   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    1   CR     1+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    1   CR     1+3/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA    1   CR     1+3/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    1   CR     1+3/4   TR  5   CH  5   NT  A-            1/4   voff=0
BA    1   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR     1+3/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    1   CR     1+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR         2   TR  1   CH  1   NT  C             1/2   voff=0
BA    1   CR         2   TR  2   CH  2   NT  A-            1/4   voff=0
BA    1   CR         2   TR  5   CH  5   NT  C             1/2   voff=0
BA    1   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    1   CR     2+1/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    1   CR     2+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     2+1/2   TR  1   CH  1   NT  D             1/2   voff=0
BA    1   CR     2+1/2   TR  5   CH  5   NT  D             1/2   voff=0
BA    1   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     2+3/4   TR  2   CH  2   NT  A--           1/2   voff=0
BA    1   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    1   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
BA    1   CR         3   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     3+1/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    1   CR     3+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     3+1/2   TR  1   CH  1   NT  A-            1/2   voff=0
BA    1   CR     3+1/2   TR  2   CH  2   NT  A-            1/4   voff=0
BA    1   CR     3+1/2   TR  3   CH  3   NT  G           4+1/2   voff=0
BA    1   CR     3+1/2   TR  4   CH  4   NT  G           4+1/2   voff=0
BA    1   CR     3+1/2   TR  5   CH  5   NT  A-            1/2   voff=0
BA    1   CR     3+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    1   CR     3+3/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    1   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    2   CR         0   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    2   CR       1/4   TR  2   CH  2   NT  C             1/4   voff=0
BA    2   CR       1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR       1/2   TR  1   CH  1   NT  A-            3/4   voff=0
BA    2   CR       1/2   TR  2   CH  2   NT  C-            1/2   voff=0
BA    2   CR       1/2   TR  5   CH  5   NT  A-            3/4   voff=0
BA    2   CR       1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR         1   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    2   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    2   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    2   CR     1+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     1+1/2   TR  1   CH  1   NT  A-            1/2   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  C             1/4   voff=0
BA    2   CR     1+1/2   TR  5   CH  5   NT  A-            1/2   voff=0
BA    2   CR     1+3/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     1+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR         2   TR  1   CH  1   NT  G-            1/2   voff=0
BA    2   CR         2   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR         2   TR  5   CH  5   NT  G-            1/2   voff=0
BA    2   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    2   CR     2+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     2+1/2   TR  1   CH  1   NT  E-            1/2   voff=0
BA    2   CR     2+1/2   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     2+1/2   TR  5   CH  5   NT  E-            1/2   voff=0
BA    2   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
