format=1 tracks=8 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 62
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "trumpet"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &26
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &26
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 57
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &26
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 57
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &26
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 57
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   NT  D'          23/96   von=99   voff=99
BA    1   CR         0   TR  2   CH 16   Text type 3: "trumpet #2"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &26
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &26
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 57
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &26
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 57
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &26
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 57
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  2   CH  2   NT  F#          23/96   von=99   voff=99
BA    1   CR         0   TR  3   CH 16   Text type 3: "bassoon"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &5A
BA    1   CR         0   TR  3   CH  3   Channel volume 101
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &5A
BA    1   CR         0   TR  3   CH  3   Channel volume 101
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &5A
BA    1   CR         0   TR  3   CH  3   Channel volume 101
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &5A
BA    1   CR         0   TR  3   CH  3   Channel volume 101
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  4   CH 16   Text type 3: "bassoon #2"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &5A
BA    1   CR         0   TR  4   CH  4   Channel volume 101
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &5A
BA    1   CR         0   TR  4   CH  4   Channel volume 101
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 71
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &5A
BA    1   CR         0   TR  4   CH  4   Channel volume 101
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 71
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &5A
BA    1   CR         0   TR  4   CH  4   Channel volume 101
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 71
BA    1   CR         0   TR  5   CH 16   Text type 3: "bass"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &2D
BA    1   CR         0   TR  5   CH  5   Channel volume 92
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &2D
BA    1   CR         0   TR  5   CH  5   Channel volume 92
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 33
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &2D
BA    1   CR         0   TR  5   CH  5   Channel volume 92
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 33
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &2D
BA    1   CR         0   TR  5   CH  5   Channel volume 92
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 33
BA    1   CR         0   TR  5   CH  5   NT  D--         23/96   von=99   voff=99
BA    1   CR         0   TR  6   CH 16   Text type 3: "piccolo"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2D
BA    1   CR         0   TR  6   CH  6   Channel volume 106
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2D
BA    1   CR         0   TR  6   CH  6   Channel volume 106
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 73
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2D
BA    1   CR         0   TR  6   CH  6   Channel volume 106
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 73
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &2D
BA    1   CR         0   TR  6   CH  6   Channel volume 106
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 73
BA    1   CR         0   TR  7   CH 16   Text type 3: "snare"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &5A
BA    1   CR         0   TR  7   CH 10   Channel volume 72
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &5A
BA    1   CR         0   TR  7   CH 10   Channel volume 72
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &5A
BA    1   CR         0   TR  7   CH 10   Channel volume 72
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &5A
BA    1   CR         0   TR  7   CH 10   Channel volume 72
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   NT  D--         11/96   von=99   voff=99
BA    1   CR       1/4   TR  1   CH  1   NT  A           13/96   voff=99
BA    1   CR       1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR       3/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR       1/2   TR  1   CH  1   NT  A           13/96   voff=99
BA    1   CR       1/2   TR  3   CH  3   NT  F#-         13/96   von=99   voff=99
BA    1   CR       1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    1   CR       1/2   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR       3/4   TR  1   CH  1   NT  A           13/96   voff=99
BA    1   CR       3/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR         1   TR  1   CH  1   NT  G            5/96   voff=99
BA    1   CR         1   TR  2   CH  2   NT  E           35/96   voff=99
BA    1   CR         1   TR  5   CH  5   NT  A--         23/96   voff=99
BA    1   CR         1   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR    1+1/16   TR  1   CH  1   NT  A            5/96   voff=99
BA    1   CR     1+1/8   TR  1   CH  1   NT  G            5/96   voff=99
BA    1   CR    1+3/16   TR  1   CH  1   NT  G           17/96   voff=99
BA    1   CR     1+1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     1+3/8   TR  2   CH  2   NT  E           11/96   voff=99
BA    1   CR     1+1/2   TR  1   CH  1   NT  F#          47/96   voff=99
BA    1   CR     1+1/2   TR  2   CH  2   NT  D           47/96   voff=99
BA    1   CR     1+1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    1   CR     1+1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    1   CR     1+1/2   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR    1+9/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     1+5/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   1+11/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     1+3/4   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   1+13/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     1+7/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   1+15/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR         2   TR  5   CH  5   NT  D--         23/96   voff=99
BA    1   CR     2+1/4   TR  1   CH  1   NT  A           13/96   voff=99
