format=1 tracks=16 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 79
BA    1   CR         0   TR  0   CH 16   Tempo 79
BA    1   CR         0   TR  0   CH 16   Tempo 79
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "NSMBW"
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  1   CH 10   Instrument 1
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  1   CH 10   Instrument 1
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  1   CH 10   Instrument 1
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   NT  E           79/96   von=110   voff=0
BA    1   CR         0   TR  2   CH 16   Text type 3: "World 8"
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   Instrument 1
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   Instrument 1
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  2   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH 10   Instrument 1
BA    1   CR         0   TR  2   CH 10   Channel volume 127
BA    1   CR         0   TR  2   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  3   CH 16   Text type 3: "Underground"
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 59
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 59
BA    1   CR         0   TR  3   CH  1   Instrument 59
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   Instrument 59
BA    1   CR         0   TR  3   CH  1   Instrument 59
BA    1   CR         0   TR  3   CH  1   Channel volume 127
BA    1   CR         0   TR  3   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH 16   Text type 3: "Theme"
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  4   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  4   CH  2   Instrument 59
BA    1   CR         0   TR  4   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  4   CH  2   Instrument 59
BA    1   CR         0   TR  4   CH  2   Instrument 59
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  4   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  4   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  4   CH  2   Instrument 59
BA    1   CR         0   TR  4   CH  2   Instrument 59
BA    1   CR         0   TR  4   CH  2   Channel volume 127
BA    1   CR         0   TR  4   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  5   CH 16   Text type 3: "Resequenced"
BA    1   CR         0   TR  5   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  5   CH  3   Channel volume 127
