format=1 tracks=6 division=256

BA    1   CR         0   TR  0   CH 16   Text type 3: "fancy some candy2"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 140
BA    1   CR         0   TR  1   CH 10   Instrument 1
BA    1   CR         0   TR  1   CH 10   ST &B9 &79 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &40 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 16   Text type 3: "Percussion"
BA    1   CR         0   TR  1   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  1   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  1   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  1   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  1   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 34
BA    1   CR         0   TR  2   CH  2   ST &B1 &79 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &40 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 103
BA    1   CR         0   TR  2   CH 16   Text type 3: "5-string Electric Bass"
BA    1   CR         0   TR  2   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &68
BA    1   CR         0   TR  2   CH  2   Channel volume 104
BA    1   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &02
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &7F
