format=1 tracks=9 division=96

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Tempo 105
BA    1   CR         0   TR  1   CH 16   End of track
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI out #2"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 1
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 1
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 1
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  3   CH  6   Channel volume 100
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  3   CH  6   Channel volume 100
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   Instrument 22
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  3   CH  6   Channel volume 100
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   Instrument 22
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  3   CH  6   Channel volume 100
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   Instrument 22
