format=1 tracks=10 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 140
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Bass & Lead"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 90
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 90
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 88
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 90
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 88
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Channel volume 90
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 88
BA    1   CR         0   TR  1   CH  1   NT  G#---       23/96   von=96
BA    1   CR         0   TR  2   CH 16   Text type 3: "Sawtooth"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 82
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 82
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   Channel volume 100
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 82
BA    1   CR         0   TR  2   CH  2   NT  C#'         23/96   von=48
BA    1   CR         0   TR  2   CH  2   NT  G#--        23/96   von=96
BA    1   CR         0   TR  3   CH 16   Text type 3: "Synth Drum"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 119
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 119
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 100
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 119
BA    1   CR         0   TR  4   CH 16   Text type 3: "Polysynth"
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 127
BA    1   CR         0   TR  4   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 127
BA    1   CR         0   TR  4   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  4   CH  5   Instrument 91
BA    1   CR         0   TR  4   CH  5   ST &B4 &01 &4C
BA    1   CR         0   TR  4   CH  5   ST &B4 &5D &58
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 127
BA    1   CR         0   TR  4   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  4   CH  5   Instrument 91
BA    1   CR         0   TR  4   CH  5   ST &B4 &01 &4C
BA    1   CR         0   TR  4   CH  5   ST &B4 &5D &58
BA    1   CR         0   TR  4   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  4   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  4   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  4   CH  5   Channel volume 127
BA    1   CR         0   TR  4   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  4   CH  5   Instrument 91
BA    1   CR         0   TR  4   CH  5   ST &B4 &01 &4C
BA    1   CR         0   TR  4   CH  5   ST &B4 &5D &58
BA    1   CR         0   TR  5   CH 16   Text type 3: "Synth Bass 1"
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR         0   TR  5   CH  6   Channel volume 115
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR         0   TR  5   CH  6   Channel volume 115
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 39
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR         0   TR  5   CH  6   Channel volume 115
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 39
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
