format=1 tracks=15 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 174
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Overdrive Guitar (left)"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &2D
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &2D
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 31
BA    1   CR         0   TR  1   CH  1   ST &B0 &01 &19
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &2D
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 31
BA    1   CR         0   TR  1   CH  1   ST &B0 &01 &19
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &2D
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 31
BA    1   CR         0   TR  1   CH  1   ST &B0 &01 &19
BA    1   CR         0   TR  1   CH  1   Channel volume 98
BA    1   CR         0   TR  1   CH  1   NT  C-          47/96   von=100
BA    1   CR         0   TR  2   CH 16   Text type 3: "Distortion Guitar (right)"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &53
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &53
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  2   CH  2   Instrument 31
BA    1   CR         0   TR  2   CH  2   ST &B1 &01 &18
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &53
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  2   CH  2   Instrument 31
BA    1   CR         0   TR  2   CH  2   ST &B1 &01 &18
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &53
BA    1   CR         0   TR  2   CH  2   Channel volume 98
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 31
BA    1   CR         0   TR  2   CH  2   ST &B1 &01 &18
